city,district,total_population,male_population,female_population,households,stats_ym
서울특별시,종로구,138208,66514,71694,72156,202501
서울특별시,중구,120325,57948,62377,64933,202501
서울특별시,용산구,203727,97392,106335,103204,202501
서울특별시,성동구,273549,132354,141195,131857,202501
서울특별시,광진구,331589,158992,172597,169878,202501
서울특별시,동대문구,338822,165648,173174,172811,202501
서울특별시,중랑구,378971,185333,193638,188637,202501
서울특별시,성북구,420710,201577,219133,196178,202501
서울특별시,강북구,283293,136674,146619,143035,202501
서울특별시,도봉구,303057,146548,156509,138769,202501
서울특별시,노원구,490307,234936,255371,217328,202501
서울특별시,은평구,460738,218101,242637,215398,202501
서울특별시,서대문구,302297,143239,159058,145914,202501
서울특별시,마포구,360981,168088,192893,180980,202501
서울특별시,양천구,430618,209958,220660,180118,202501
서울특별시,강서구,555518,265867,289651,273773,202501
서울특별시,구로구,387510,189651,197859,183840,202501
서울특별시,금천구,224924,113054,111870,121026,202501
서울특별시,영등포구,373307,182615,190692,192170,202501
서울특별시,동작구,375456,181356,194100,186838,202501
서울특별시,관악구,477940,240565,237375,286279,202501
서울특별시,서초구,408324,194124,214200,170701,202501
서울특별시,강남구,557115,266239,290876,244962,202501
서울특별시,송파구,649071,311160,337911,286796,202501
서울특별시,강동구,484301,236499,247802,215368,202501
부산광역시,중구,37469,18209,19260,23509,202501
부산광역시,서구,103065,49454,53611,53584,202501
부산광역시,동구,85857,41669,44188,47040,202501
부산광역시,영도구,103503,50766,52737,53560,202501
부산광역시,부산진구,359150,171994,187156,184230,202501
부산광역시,동래구,274843,132444,142399,122410,202501
부산광역시,남구,253970,123515,130455,119408,202501
부산광역시,북구,267287,131133,136154,122321,202501
부산광역시,해운대구,376213,180186,196027,169837,202501
부산광역시,사하구,292117,144881,147236,140573,202501
부산광역시,금정구,209326,101891,107435,104496,202501
부산광역시,강서구,142869,73992,68877,62436,202501
부산광역시,연제구,212566,101515,111051,99571,202501
부산광역시,수영구,171871,80418,91453,88118,202501
부산광역시,사상구,198258,99327,98931,99415,202501
부산광역시,기장군,175527,86963,88564,79187,202501
대구광역시,중구,98112,46959,51153,48972,202501
대구광역시,동구,342133,167334,174799,164871,202501
대구광역시,서구,162815,80662,82153,84179,202501
대구광역시,남구,136642,65179,71463,75367,202501
대구광역시,북구,412347,204215,208132,191556,202501
대구광역시,수성구,409676,197089,212587,174897,202501
대구광역시,달서구,521673,255670,266003,237488,202501
대구광역시,달성군,257469,130531,126938,113775,202501
대구광역시,군위군,22414,11596,10818,13385,202501
인천광역시,중구,168271,87070,81201,84410,202501
인천광역시,동구,58162,29143,29019,27750,202501
인천광역시,미추홀구,412621,207592,205029,201203,202501
인천광역시,연수구,400461,198189,202272,163884,202501
인천광역시,남동구,485702,240980,244722,224930,202501
인천광역시,부평구,493853,242819,251034,225553,202501
인천광역시,계양구,279685,139075,140610,127621,202501
인천광역시,서구,635553,319743,315810,272493,202501
인천광역시,강화군,69439,34719,34720,35643,202501
인천광역시,옹진군,19902,11285,8617,12301,202501
광주광역시,동구,105910,52047,53863,55184,202501
광주광역시,서구,278614,136301,142313,132630,202501
광주광역시,남구,208004,99428,108576,95626,202501
광주광역시,북구,423403,209308,214095,202339,202501
광주광역시,광산구,391166,197448,193718,171937,202501
대전광역시,동구,219439,110469,108970,111384,202501
대전광역시,중구,224881,110241,114640,108283,202501
대전광역시,서구,457758,224301,233457,217252,202501
대전광역시,유성구,369111,186961,182150,170125,202501
대전광역시,대덕구,167785,85190,82595,80897,202501
울산광역시,중구,206883,104699,102184,94855,202501
울산광역시,남구,304922,155828,149094,141500,202501
울산광역시,동구,150761,78671,72090,68126,202501
울산광역시,북구,216375,112292,104083,89173,202501
울산광역시,울주군,218880,113403,105477,102023,202501
세종특별자치시,세종특별자치시,390910,194470,196440,163404,202501
경기도,수원시,1192256,599280,592976,540621,202501
경기도,수원시 장안구,274216,137474,136742,122570,202501
경기도,수원시 권선구,362591,183150,179441,164758,202501
경기도,수원시 팔달구,194389,97791,96598,97940,202501
경기도,수원시 영통구,361060,180865,180195,155353,202501
경기도,성남시,912708,451277,461431,410181,202501
경기도,성남시 수정구,234721,118612,116109,116771,202501
경기도,성남시 중원구,206790,104303,102487,100551,202501
경기도,성남시 분당구,471197,228362,242835,192859,202501
경기도,의정부시,461142,226410,234732,210392,202501
경기도,안양시,557962,275133,282829,235947,202501
경기도,안양시 만안구,230513,114897,115616,103272,202501
경기도,안양시 동안구,327449,160236,167213,132675,202501
경기도,부천시,769084,379519,389565,343393,202501
경기도,부천시 원미구,389501,191205,198296,174608,202501
경기도,부천시 소사구,227754,111721,116033,99141,202501
경기도,부천시 오정구,151829,76593,75236,69644,202501
경기도,광명시,279805,137075,142730,115826,202501
경기도,평택시,599138,314577,284561,285490,202501
경기도,동두천시,86807,43260,43547,43117,202501
경기도,안산시,619381,317278,302103,287811,202501
경기도,안산시 상록구,326380,166624,159756,151545,202501
경기도,안산시 단원구,293001,150654,142347,136266,202501
경기도,고양시,1069131,520912,548219,466009,202501
경기도,고양시 덕양구,492667,241671,250996,220907,202501
경기도,고양시 일산동구,293813,142589,151224,129931,202501
경기도,고양시 일산서구,282651,136652,145999,115171,202501
경기도,과천시,85501,41736,43765,30872,202501
경기도,구리시,186868,92460,94408,81318,202501
경기도,남양주시,732191,362441,369750,307429,202501
