school_name,city
옥과고등학교,전라남도
자유고등학교,전라북도
남녕고등학교,제주특별자치도
동암고등학교,전라북도
호남제일고등학교,전라북도
부안여자고등학교,전라북도
신성여자고등학교,제주특별자치도
정일초등학교,전라북도
오현고등학교,제주특별자치도
배영고등학교,전라북도
만경여자고등학교,전라북도
전주신흥고등학교,전라북도
고창북고등학교,전라북도
영흥고등학교,전라남도
강호항공고등학교,전라북도
순창고등학교,전라북도
인상고등학교,전라북도
소성초등학교,전라북도
고창고등학교,전라북도
만경고등학교,전라북도
태인고등학교,전라북도
종정초등학교,전라북도
덕암정보고등학교,전라북도
목포여자고등학교,전라남도
화천고등학교,강원특별자치도
정읍여자고등학교,전라북도
신태인초등학교,전라북도
목포덕인고등학교,전라남도
환일고등학교,서울특별시
김제여자고등학교,전라북도
낭주중학교,전라북도
광양제철초등학교,전라남도
남원여자고등학교,전라북도
목포혜인여자고등학교,전라남도
삼일공업고등학교,경기도
동암차돌학교,전라북도
김제고등학교,전라북도
김제농생명마이스터고등학교,전라북도
신태인고등학교,전라북도
남원용성중학교,전라북도
이평초등학교,전라북도
정읍서초등학교,전라북도
해남공업고등학교,전라남도
순천금당고등학교,전라남도
영암여자고등학교,전라남도
지평선중학교,전라북도
광양여자고등학교,전라남도
순천여자고등학교,전라남도
삼호고등학교,전라남도
목포홍일고등학교,전라남도
전주솔내고등학교,전라북도
고창북중학교,전라북도
순천제일고등학교,전라남도
목포청호중학교,전라남도
왕신여자고등학교,전라북도
전주한일고등학교,전라북도
호남고등학교,전라북도
브니엘고등학교,부산광역시
부안고등학교,전라북도
서영여자고등학교,전라북도
군산서흥중학교,전라북도
남원하늘중학교,전라북도
순천강남여자고등학교,전라남도
목상고등학교,전라남도
구례중앙초등학교,전라남도
휘문고등학교,서울특별시
서일여자고등학교,대전광역시
한밭초등학교,대전광역시
비룡초등학교,경기도
전주중학교,전라북도
정읍중학교,전라북도
광양백운고등학교,전라남도
목포고등학교,전라남도
목포공업고등학교,전라남도
목포여자상업고등학교,전라남도
목포정명여자고등학교,전라남도
문태고등학교,전라남도
한국항만물류고등학교,전라남도
강진중앙초등학교,전라남도
중마고등학교,전라남도
남성고등학교,전라북도
남원고등학교,전라북도
배명고등학교,서울특별시
강릉명륜고등학교,강원특별자치도
군산상일고등학교,전라북도
군산여자고등학교,전라북도
덕암고등학교,전라북도
글로벌학산고등학교,전라북도
김제초등학교,전라북도
정읍남초등학교,전라북도
목포제일여자고등학교,전라남도
순천매산고등학교,전라남도
목포신흥초등학교,전라남도
해남제일중학교,전라남도
