city,population_tot,population_man,population_female,houshol,year
서울특별시,9331828,4505355,4826473,4482063,2024
부산광역시,3266598,1589912,1676686,1570403,2024
대구광역시,2363629,1159601,1204028,1104130,2024
인천광역시,3021010,1509243,1511767,1373827,2024
광주광역시,1408422,695224,713198,658075,2024
대전광역시,1439157,717291,721866,687757,2024
울산광역시,1098049,564888,533161,495378,2024
세종특별자치시,390685,194413,196272,163432,2024
경기도,13694685,6882186,6812499,6058202,2024
강원특별자치도,1517766,763025,754741,764834,2024
충청북도,1591177,809920,781257,787756,2024
충청남도,2136574,1096128,1040446,1052129,2024
전북특별자치도,1738690,866030,872660,864608,2024
전라남도,1788819,902380,886439,912412,2024
경상북도,2531384,1280547,1250837,1291568,2024
경상남도,3228380,1626926,1601454,1537492,2024
제주특별자치도,670368,335255,335113,314862,2024
