school_name,candidates
송정초등학교,"송정초등학교(부산광역시교육청), 송정초등학교(부산광역시교육청), 송정초등학교(광주광역시교육청), 송정초등학교(울산광역시교육청), 송정초등학교(경기도교육청), 송정초등학교(강원특별자치도교육청)"
교동초등학교,"교동초등학교(부산광역시교육청), 교동초등학교(인천광역시교육청), 교동초등학교(경기도교육청), 교동초등학교(강원특별자치도교육청), 교동초등학교(강원특별자치도교육청), 교동초등학교(강원특별자치도교육청), 교동초등학교(강원특별자치도교육청)"
광양고등학교,"광양고등학교(서울특별시교육청), 광양고등학교(전라남도교육청)"
북면초등학교,"북면초등학교(전북특별자치도교육청), 북면초등학교(경상남도교육청)"
고창중학교,"고창중학교(경기도교육청), 고창중학교(전북특별자치도교육청)"
대신고등학교,"대신고등학교(서울특별시교육청), 대신고등학교(경기도교육청)"
한솔초등학교,"한솔초등학교(세종특별자치시교육청), 한솔초등학교(경기도교육청), 한솔초등학교(강원특별자치도교육청), 한솔초등학교(충청북도교육청), 한솔초등학교(전북특별자치도교육청)"
영신여자고등학교,"영신여자고등학교(서울특별시교육청), 영신여자고등학교(경기도교육청)"
동산초등학교,"동산초등학교(서울특별시교육청), 동산초등학교(경기도교육청), 동산초등학교(전북특별자치도교육청), 동산초등학교(전라남도교육청), 동산초등학교(경상북도교육청)"
동명초등학교,"동명초등학교(부산광역시교육청), 동명초등학교(대전광역시교육청), 동명초등학교(강원특별자치도교육청), 동명초등학교(충청북도교육청), 동명초등학교(전라남도교육청), 동명초등학교(경상북도교육청)"
광덕고등학교,"광덕고등학교(광주광역시교육청), 광덕고등학교(경기도교육청)"
성일고등학교,"성일고등학교(경기도교육청), 성일고등학교(전북특별자치도교육청)"
금구중학교,"금구중학교(광주광역시교육청), 금구중학교(전북특별자치도교육청)"
원평초등학교,"원평초등학교(충청북도교육청), 원평초등학교(전북특별자치도교육청), 원평초등학교(경상남도교육청)"
신명초등학교,"신명초등학교(부산광역시교육청), 신명초등학교(경상남도교육청)"
동신초등학교,"동신초등학교(부산광역시교육청), 동신초등학교(경기도교육청), 동신초등학교(전북특별자치도교육청)"
보문고등학교,"보문고등학교(광주광역시교육청), 보문고등학교(대전광역시교육청)"
대청초등학교,"대청초등학교(부산광역시교육청), 대청초등학교(인천광역시교육청), 대청초등학교(경기도교육청), 대청초등학교(경상남도교육청)"
부안중학교,"부안중학교(경기도교육청), 부안중학교(전북특별자치도교육청)"
태인초등학교,"태인초등학교(전북특별자치도교육청), 태인초등학교(전라남도교육청)"
광영고등학교,"광영고등학교(서울특별시교육청), 광영고등학교(전라남도교육청)"
성남고등학교,"성남고등학교(서울특별시교육청), 성남고등학교(경기도교육청)"
삼성초등학교,"삼성초등학교(인천광역시교육청), 삼성초등학교(경기도교육청), 삼성초등학교(경기도교육청), 삼성초등학교(강원특별자치도교육청), 삼성초등학교(충청북도교육청), 삼성초등학교(충청남도교육청)"
동성고등학교,"동성고등학교(서울특별시교육청), 동성고등학교(충청북도교육청)"
보성고등학교,"보성고등학교(서울특별시교육청), 보성고등학교(전라남도교육청)"
양정고등학교,"양정고등학교(서울특별시교육청), 양정고등학교(부산광역시교육청)"
중산고등학교,"중산고등학교(서울특별시교육청), 중산고등학교(경기도교육청)"
구암중학교,"구암중학교(서울특별시교육청), 구암중학교(대구광역시교육청), 구암중학교(경상남도교육청)"
지산중학교,"지산중학교(대구광역시교육청), 지산중학교(광주광역시교육청), 지산중학교(경기도교육청)"
수곡초등학교,"수곡초등학교(충청북도교육청), 수곡초등학교(전북특별자치도교육청), 수곡초등학교(경상남도교육청)"
용호초등학교,"용호초등학교(부산광역시교육청), 용호초등학교(경기도교육청), 용호초등학교(경상남도교육청)"
옥천초등학교,"옥천초등학교(부산광역시교육청), 옥천초등학교(경기도교육청), 옥천초등학교(강원특별자치도교육청), 옥천초등학교(전북특별자치도교육청), 옥천초등학교(전라남도교육청)"
구산중학교,"구산중학교(서울특별시교육청), 구산중학교(인천광역시교육청), 구산중학교(경상남도교육청)"
동명중학교,"동명중학교(대전광역시교육청), 동명중학교(강원특별자치도교육청), 동명중학교(경상북도교육청), 동명중학교(경상남도교육청)"
삼남중학교,"삼남중학교(울산광역시교육청), 삼남중학교(전북특별자치도교육청)"
성동초등학교,"성동초등학교(서울특별시교육청), 성동초등학교(부산광역시교육청), 성동초등학교(울산광역시교육청), 성동초등학교(충청남도교육청), 성동초등학교(경상북도교육청)"
송정중학교,"송정중학교(서울특별시교육청), 송정중학교(부산광역시교육청), 송정중학교(광주광역시교육청)"
동양중학교,"동양중학교(서울특별시교육청), 동양중학교(부산광역시교육청)"
