city,district,item_category,bid_count,opportunity_score,competition_score,anomaly_score,is_blue_ocean
전라남도,신안군,시설관리/공사,7,33.62,0.924,0.7182440936758835,True
전라남도,진도군,환경개선/생활민원,10,32.35,0.882,0.696621485420044,True
부산광역시,연제구,시설관리/공사,17,30.37,0.798,0.6568930504622693,True
부산광역시,중구,시설관리/공사,14,30.28,0.838,0.663212886100891,True
경상북도,칠곡군,환경개선/생활민원,5,29.37,0.964,0.7085023957690771,True
부산광역시,서구,시설관리/공사,26,29.28,0.71,0.6224811159814538,True
경기도,포천시,시설관리/공사,25,28.61,0.723,0.6010350545828648,True
경기도,여주시,IT/소프트웨어,5,28.59,0.722,0.6018489092872529,True
인천광역시,서구,교육/교구,5,28.52,0.76,0.6123286397843196,True
경기도,이천시,시설관리/공사,16,28.49,0.815,0.627507248270644,True
충청남도,청양군,IT/소프트웨어,6,28.18,0.678,0.6002198394902474,True
경기도,여주시,시설관리/공사,16,28.16,0.815,0.624902311859022,True
광주광역시,동구,시설관리/공사,34,27.88,0.653,0.5830434416032677,True
부산광역시,북구,시설관리/공사,37,27.83,0.626,0.5716639226170248,True
충청남도,보령시,환경개선/생활민원,20,27.82,0.689,0.5815958863125383,True
인천광역시,미추홀구,교육/교구,11,27.8,0.653,0.5746648400702423,True
경기도,안양시,시설관리/공사,31,27.62,0.664,0.5672346028809079,True
경기도,양평군,시설관리/공사,9,27.61,0.893,0.6321265416852441,True
경기도,성남시,시설관리/공사,23,27.59,0.748,0.5886118525001531,True
경기도,하남시,기타,13,27.59,0.705,0.573785384555878,True
경기도,안산시,시설관리/공사,11,27.56,0.866,0.6249468540675194,True
경기도,의왕시,교육/교구,5,27.45,0.76,0.5862785446290294,True
충청북도,진천군,환경개선/생활민원,10,27.41,0.882,0.6246118052363336,True
부산광역시,사상구,시설관리/공사,41,27.3,0.59,0.548715468399182,True
전라남도,화순군,환경개선/생활민원,26,27.23,0.609,0.5466397681853156,True
전라남도,여수시,교육/교구,12,27.21,0.623,0.5514033705877031,True
강원특별자치도,양구군,기타,15,27.2,0.642,0.5573539283745104,True
광주광역시,남구,환경개선/생활민원,23,27.05,0.647,0.5568939059753589,True
전라남도,강진군,시설관리/공사,42,27.03,0.582,0.5486028582029582,True
전라남도,영암군,환경개선/생활민원,15,26.96,0.756,0.5824158930364061,True
경기도,가평군,IT/소프트웨어,6,26.91,0.678,0.5603187900370475,True
경상남도,창원시,환경개선/생활민원,14,26.81,0.778,0.5871170080796765,True
광주광역시,광산구,행사/홍보,5,26.7,0.605,0.5410010689914955,True
경상남도,의령군,환경개선/생활민원,12,26.64,0.831,0.598963034168571,True
경상북도,칠곡군,교육/교구,8,26.32,0.7,0.5535084386166584,True
경상북도,봉화군,환경개선/생활민원,18,26.3,0.72,0.5577363547796995,True
경기도,용인시,시설관리/공사,29,26.22,0.679,0.5476682025090904,True
경기도,구리시,시설관리/공사,5,25.94,0.952,0.6505387028245723,True
경상남도,김해시,시설관리/공사,8,25.69,0.908,0.6099587724298265,True
경상남도,밀양시,환경개선/생활민원,12,25.35,0.831,0.5718442789119906,True
대구광역시,중구,시설관리/공사,24,25.21,0.735,0.5428136376214422,True
경기도,시흥시,시설관리/공사,8,25.17,0.908,0.601795572215937,True
경기도,군포시,시설관리/공사,8,25.13,0.908,0.6026950202561908,True
경기도,양주시,시설관리/공사,6,25.11,0.939,0.623312782371371,True
부산광역시,해운대구,기타,5,24.8,0.811,0.5666443843582454,True
서울특별시,동작구,환경개선/생활민원,10,24.48,0.882,0.5808095204782877,True
서울특별시,도봉구,시설관리/공사,13,23.9,0.851,0.5559381389122495,True
서울특별시,종로구,시설관리/공사,16,23.88,0.815,0.5469379819354376,True
경기도,남양주시,시설관리/공사,10,23.87,0.88,0.5662649519793912,True
경상남도,산청군,시설관리/공사,14,23.66,0.838,0.5501213000669016,True
