C:\Users\user\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\__init__.py:113: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (7.4.3)/charset_normalizer (3.4.6) doesn't match a supported version!
  warnings.warn(
조회 대상: 5,566건 (기존 캐시 6건 제외)
  50/5566 / confirmed=28, ambiguous=20, unresolved=2
  100/5566 / confirmed=51, ambiguous=45, unresolved=4
  150/5566 / confirmed=77, ambiguous=66, unresolved=7
  200/5566 / confirmed=113, ambiguous=75, unresolved=12
  250/5566 / confirmed=147, ambiguous=89, unresolved=14
  300/5566 / confirmed=188, ambiguous=97, unresolved=15
  350/5566 / confirmed=221, ambiguous=111, unresolved=18
  400/5566 / confirmed=257, ambiguous=122, unresolved=21
  450/5566 / confirmed=288, ambiguous=138, unresolved=24
  500/5566 / confirmed=328, ambiguous=147, unresolved=25
  550/5566 / confirmed=371, ambiguous=153, unresolved=26
  600/5566 / confirmed=400, ambiguous=172, unresolved=28
  650/5566 / confirmed=442, ambiguous=180, unresolved=28
  700/5566 / confirmed=479, ambiguous=192, unresolved=29
  750/5566 / confirmed=518, ambiguous=201, unresolved=31
  800/5566 / confirmed=551, ambiguous=215, unresolved=34
  850/5566 / confirmed=589, ambiguous=223, unresolved=38
  900/5566 / confirmed=631, ambiguous=231, unresolved=38
  950/5566 / confirmed=662, ambiguous=246, unresolved=42
  1000/5566 / confirmed=697, ambiguous=261, unresolved=42
  1050/5566 / confirmed=734, ambiguous=271, unresolved=45
  1100/5566 / confirmed=770, ambiguous=284, unresolved=46
  1150/5566 / confirmed=806, ambiguous=297, unresolved=47
  1200/5566 / confirmed=842, ambiguous=311, unresolved=47
  1250/5566 / confirmed=886, ambiguous=315, unresolved=49
  1300/5566 / confirmed=925, ambiguous=326, unresolved=49
  1350/5566 / confirmed=968, ambiguous=333, unresolved=49
  1400/5566 / confirmed=1011, ambiguous=336, unresolved=53
  1450/5566 / confirmed=1048, ambiguous=349, unresolved=53
  1500/5566 / confirmed=1088, ambiguous=358, unresolved=54
