untyCntrctNo,bsnsDivNm,dcsnCntrctNo,cntrctRefNo,cntrctNm,cmmnCntrctYn,lngtrmCtnuDivNm,cntrctCnclsDate,cntrctPrd,baseLawNm,totCntrctAmt,thtmCntrctAmt,grntymnyRate,cntrctInfoUrl,payDivNm,reqNo,ntceNo,cntrctInsttCd,cntrctInsttNm,cntrctInsttJrsdctnDivNm,cntrctInsttChrgDeptNm,cntrctInsttOfclNm,cntrctInsttOfclTelNo,cntrctInsttOfclFaxNo,dminsttList,corpList,cntrctDtlInfoUrl,crdtrNm,baseDtls,cntrctCnclsMthdNm,rgstDt,chgDt,dfrcmpnstRt,pubPrcrmntClsfcNo,pubPrcrmntClsfcNm,pubPrcrmntMidClsfcNm,pubPrcrmntLrgClsfcNm,cntrctDate,infoBizYn,_source_endpoint,_business_type,dminsttNm,cntrctAmt
R26TE14086732,물품,R26TA0168724500,R26TA0168724500,"(단가, 수의)보령 511함 주기관(MTU12V1163TB93) 단계별정비(W5)",N,신규,2026-04-09,26.4.9.~26.5.13.,국가계약법 (제26조제1항2호바목),0,336180000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^STX엔진주식회사제1사업장^이상수^대한민국^100^STX엔진주식회사제1사업장^^6098522263],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01687245&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,제조공급자가 설치 조립시,수의계약,2026-04-20 07:02:17,,0.125,,,,,2026-04-09,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,336180000
R26TE14086742,물품,,R26TA0177143500,"(단가)속초 P-88정(50톤급, 상가수리) 선체 도장수리",N,신규,,26.4.15.~26.4.21.,국가계약법 (제21조제1항3호),0,9493000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^수일종합환경 주식회사^서영완^대한민국^100^수일종합환경 주식회사^^6048139330],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771435&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,"특수한설비,기술의보유및실적(물품제조)",제한경쟁,2026-04-20 07:21:35,,0.125,,,,,2026-04-15,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,9493000
R26TE14086784,물품,,R26TA0177098300,환경관리원 근무복(하절기) 구입,N,신규,,2026.04.20.~2026.05.15.,지방계약법 (제25조제1항5호나목),0,18880000,5,http://www.g2b.go.kr,직불,,,3290000,부산광역시 부산진구,지방자치단체,재무과,한영경,051-605-4151,,[1^3290000^부산광역시 부산진구^지방자치단체^재무과^한영경^0516054151],[1^주계약업체^단독^비티기업^안선영^대한민국^100^비티기업^^2030921679],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01770983&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 부산진구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 07:45:28,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 부산진구,18880000
R26TE14086788,물품,,R26TA0177145500,"(단가)완도 323함(300톤급, 상가수리) 선체 도장수리",N,신규,,26.4.15.~26.4.21.,국가계약법 (제21조제1항3호),0,10314000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^수일종합환경 주식회사^서영완^대한민국^100^수일종합환경 주식회사^^6048139330],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771455&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,"특수한설비,기술의보유및실적(물품제조)",제한경쟁,2026-04-20 07:48:14,,0.125,,,,,2026-04-15,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,10314000
R26TE14086798,물품,,R26TA0177146100,"(단가)울진 308함(300톤급, 상가수리) 선체 도장수리",N,신규,,26.4.8.~26.4.20.,국가계약법 (제21조제1항3호),0,30733000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^수일종합환경 주식회사^서영완^대한민국^100^수일종합환경 주식회사^^6048139330],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771461&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,"특수한설비,기술의보유및실적(물품제조)",제한경쟁,2026-04-20 07:55:03,,0.125,,,,,2026-04-08,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,30733000
R26TE14086818,물품,,R26TA0177146300,"(단가)사천 P-53정(50톤급, 상가수리) 선체 도장수리",N,신규,,26.4.9.~26.4.17.,국가계약법 (제21조제1항3호),0,9928000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^수일종합환경 주식회사^서영완^대한민국^100^수일종합환경 주식회사^^6048139330],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771463&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,"특수한설비,기술의보유및실적(물품제조)",제한경쟁,2026-04-20 08:02:54,,0.125,,,,,2026-04-09,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,9928000
R26TE14086857,물품,,R26TA0177147200,"(단가, 유찰, 수의) 속초 P-88 선저외판 검사수리",N,신규,,26.4.17.~26.4.27.,국가계약법 (제27조제1항),0,714000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^조은엔지니어링^조재용^대한민국^100^조은엔지니어링^^4172700132],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771472&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,재공고입찰등과 수의계약,수의계약,2026-04-20 08:14:06,,0.125,,,,,2026-04-17,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,714000
R26TE14086887,물품,,R26TA0177147700,"(단가, 유찰, 수의) 울진 308함, 사천 P-53정 선저외판 검사수리",N,신규,,26.4.13.~26.4.21.,국가계약법 (제27조제1항),0,2336000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^조은엔지니어링^조재용^대한민국^100^조은엔지니어링^^4172700132],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771477&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,재공고입찰등과 수의계약,수의계약,2026-04-20 08:19:14,,0.125,,,,,2026-04-13,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,2336000
R26TE14086911,물품,,R26TA0177148200,(단가)통영 1006함 발전원동기(MTU8V183TE52) 총분해수리(W6),N,신규,,26.4.13.~26.5.12.,국가계약법 (제21조제1항10호가목),0,46634000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^주식회사 아라트^김명우^대한민국^100^주식회사 아라트^^5468601417],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771482&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,"추정가격 1억원 미만 물품·용역(소기업, 소상공인, 벤처기업, 창업자)",제한경쟁,2026-04-20 08:25:30,,0.125,,,,,2026-04-13,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,46634000
R26TE14086917,물품,,R26TA0177147800,기장읍 대라리 140-8번지 주변 노후관 개량공사(KP부속 등 20종),N,신규,,30,지방계약법 (제25조제1항5호나목),0,7397620,5,http://www.g2b.go.kr,직불,,,6260360,부산광역시 상수도사업본부 기장사업소,지방자치단체,기장사업소업무부서,김우열,051-669-5556,051-669-5559,[1^6260360^부산광역시 상수도사업본부 기장사업소^지방자치단체^기장사업소업무부서^김우열^0516695556],[1^주계약업체^단독^(주)신진수도^김정학^대한민국^100^(주)신진수도^^6178129366],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771478&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도본부 기장사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 08:27:24,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 기장사업소,7397620
