untyCntrctNo,bsnsDivNm,dcsnCntrctNo,cntrctRefNo,cntrctNm,cmmnCntrctYn,lngtrmCtnuDivNm,cntrctCnclsDate,cntrctPrd,baseLawNm,totCntrctAmt,thtmCntrctAmt,grntymnyRate,cntrctInfoUrl,payDivNm,reqNo,ntceNo,cntrctInsttCd,cntrctInsttNm,cntrctInsttJrsdctnDivNm,cntrctInsttChrgDeptNm,cntrctInsttOfclNm,cntrctInsttOfclTelNo,cntrctInsttOfclFaxNo,dminsttList,corpList,cntrctDtlInfoUrl,crdtrNm,baseDtls,cntrctCnclsMthdNm,rgstDt,chgDt,dfrcmpnstRt,pubPrcrmntClsfcNo,pubPrcrmntClsfcNm,pubPrcrmntMidClsfcNm,pubPrcrmntLrgClsfcNm,cntrctDate,infoBizYn,_source_endpoint,_business_type,dminsttNm,cntrctAmt
R26TE14086715,물품,R26TA0169086501,R26TA0169086501,삼산 여천배수구역 우수토실 및 관로매설 공사 수중모터펌프 구매,N,신규,2026-04-20,,지방계약법 (제7조의2제2항2호),0,182649000,5,http://www.g2b.go.kr,직불,,R26BK01407517,B555417,재단법인2028울산국제정원박람회조직위원회,지자체 출자출연기관,,오선수,,,[1^B555417^재단법인2028울산국제정원박람회조직위원회^지자체 출자출연기관^^오선수^],[1^주계약업체^단독^주식회사 그린텍^이정곤^대한민국^100^주식회사 그린텍^^5088123281],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01690865&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,2028울산국제정원박람회조직위원장,"[판로지원법] 중기간경쟁제품 조합추천 지명경쟁, 공동사업",지명경쟁,2026-04-20 06:09:36,,0.15,,,,,2026-04-20,N,getCntrctInfoListThng,물품,재단법인2028울산국제정원박람회조직위원회,182649000
R26TE14086720,물품,R26TA0176403500,R26TA0176403500,강릉종합운동장(본부석) 접이식 좌석 교체공사 관급(관람석의자),N,신규,2026-04-17,계약일~2026. 7. 15.,지방계약법 (제25조제1항5호라목),0,95592000,5,http://www.g2b.go.kr,직불,,R26BK01452080,4201000,강원특별자치도 강릉시,지방자치단체,회계과,엄예슬,033-640-5474,,[1^4201000^강원특별자치도 강릉시^지방자치단체^회계과^엄예슬^0336405474],[1^주계약업체^단독^주식회사 예닮^양두환^대한민국^100^주식회사 예닮^^2538100506],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01764035&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,강릉시장,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업 소상공인 계약),수의계약,2026-04-20 06:35:35,,0.08,,,,,2026-04-17,N,getCntrctInfoListThng,물품,강원특별자치도 강릉시,95592000
R26TE14086732,물품,R26TA0168724500,R26TA0168724500,"(단가, 수의)보령 511함 주기관(MTU12V1163TB93) 단계별정비(W5)",N,신규,2026-04-09,26.4.9.~26.5.13.,국가계약법 (제26조제1항2호바목),0,336180000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^STX엔진주식회사제1사업장^이상수^대한민국^100^STX엔진주식회사제1사업장^^6098522263],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01687245&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,제조공급자가 설치 조립시,수의계약,2026-04-20 07:02:17,,0.125,,,,,2026-04-09,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,336180000
R26TE14086738,물품,,R26TA0172409400,송도11-1공구 기반시설 건설공사(3구역)(폴리에틸렌피복강관 부속자재),N,신규,,,지방계약법 (제25조제1항4호타목),0,209458660,5,http://www.g2b.go.kr,직불,,,6280548,인천광역시 경제자유구역청,지방자치단체,운영지원과,조보미,032-453-7164,,[1^6280548^인천광역시 경제자유구역청^지방자치단체^운영지원과^조보미^0324537164],[1^주계약업체^단독^주식회사 위스코^천영민^대한민국^100^주식회사 위스코^^1398120846],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01724094&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,인천광역시경제자유구역청장,부품공급 및 설비확충 시 호환성,수의계약,2026-04-20 07:20:25,,0.08,,,,,2026-04-24,N,getCntrctInfoListThng,물품,인천광역시 경제자유구역청,209458660
R26TE14086742,물품,,R26TA0177143500,"(단가)속초 P-88정(50톤급, 상가수리) 선체 도장수리",N,신규,,26.4.15.~26.4.21.,국가계약법 (제21조제1항3호),0,9493000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^수일종합환경 주식회사^서영완^대한민국^100^수일종합환경 주식회사^^6048139330],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771435&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,"특수한설비,기술의보유및실적(물품제조)",제한경쟁,2026-04-20 07:21:35,,0.125,,,,,2026-04-15,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,9493000
R26TE14086747,물품,R26TA0175183100,R26TA0175183100,냉장고 구입(영양고추연구소),N,신규,2026-04-15,,지방계약법 (제25조제1항5호나목),0,5800000,5,http://www.g2b.go.kr,직불,,,6470332,경상북도 농업기술원,지방자치단체,총무과,허태운,053-320-0273,053-320-0293,[1^6470332^경상북도 농업기술원^지방자치단체^총무과^허태운^0533200273],[1^주계약업체^단독^대한과학^이유덕^대한민국^100^대한과학^^5080212756],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01751831&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,경상북도농업기술원장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 07:23:07,,0.08,,,,,2026-04-15,N,getCntrctInfoListThng,물품,경상북도 농업기술원,5800000
R26TE14086752,물품,R26TA0175096200,R26TA0175096200,건설기계조종사 면허증 발급기 구입,N,신규,2026-04-14,,지방계약법 (제25조제1항5호나목),0,11095000,5,http://www.g2b.go.kr,직불,,,3790000,경기도 성남시 수정구,지방자치단체,수정구 총무과 경리팀,박은혜,031-729-5052,031-729-5749,[1^3790000^경기도 성남시 수정구^지방자치단체^수정구 총무과 경리팀^박은혜^0317295052],[1^주계약업체^단독^금아데이타테크(주)^정승호^대한민국^100^금아데이타테크(주)^^3148115643],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01750962&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,수정구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 07:26:06,,0.08,,,,,2026-04-14,N,getCntrctInfoListThng,물품,경기도 성남시 수정구,11095000
R26TE14086754,물품,,R26TA0177143800,2026년 5월 학교 일반미 구매,N,신규,,2026년 5월,지방계약법 (제25조제1항5호나목),0,3060000,5,http://www.g2b.go.kr,직불,,,7240454,대구광역시교육청 대구소프트웨어마이스터고등학교,교육기관,행정실,최원석,053-231-9213,053-614-0709,[1^7240454^대구광역시교육청 대구소프트웨어마이스터고등학교^교육기관^행정실^최원석^0532319213],[1^주계약업체^단독^대구농산물생산자영농조합법인^이종철^대한민국^100^대구농산물생산자영농조합법인^^5148166174],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771438&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,대구소프트웨어마이스터고등학교,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 07:26:53,,0.08,,,,,2026-04-22,N,getCntrctInfoListThng,물품,대구광역시교육청 대구소프트웨어마이스터고등학교,3060000
R26TE14086755,물품,R25TA0072992701,R25TA0072992701,"2026학년도 대원외국어고등학교 신입생 교복(동복,하복) 학교주관 구매",N,신규,2026-04-17,,국가계약법 (제21조제1항6호),0,67554000,10,http://www.g2b.go.kr,직불,,R25BK00924266,Z006895,대원외국어고등학교,기타기관,행정실,이승엽,,,[1^Z006895^대원외국어고등학교^기타기관^행정실^이승엽^],[1^주계약업체^단독^SSEN10 학생복(동부점)^황순근^대한민국^100^SSEN10 학생복(동부점)^^2061848403],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00729927&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,이영근,기획재정부령 금액미만시 영업소재지(지역제한),제한경쟁,2026-04-20 07:27:04,,0.075,,,,,2026-04-17,N,getCntrctInfoListThng,물품,대원외국어고등학교,67554000
R26TE14086756,물품,R26TA0176416800,R26TA0176416800,(지명경쟁)창곡 소하천 유지용수 배수펌프 구입,N,신규,2026-04-16,,지방계약법 (제7조의2제2항2호),0,163775290,5,http://www.g2b.go.kr,직불,,R26BK01433442,3790000,경기도 성남시 수정구,지방자치단체,수정구 총무과 경리팀,박은혜,031-729-5052,031-729-5749,[1^3790000^경기도 성남시 수정구^지방자치단체^수정구 총무과 경리팀^박은혜^0317295052],[1^주계약업체^단독^주식회사 대진정공^이주백^대한민국^100^주식회사 대진정공^^1228150833],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01764168&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,수정구청장,"[판로지원법] 중기간경쟁제품 조합추천 지명경쟁, 공동사업",지명경쟁,2026-04-20 07:27:10,,0.08,,,,,2026-04-16,N,getCntrctInfoListThng,물품,경기도 성남시 수정구,163775290
