ym,item_category,bid_count,amount_sum,ym_str,t,fitted,residual,month,is_forecast,trend,slope_per_month,seasonal_cv,has_seasonality
2024-04,IT/소프트웨어,3,469993840.0,2024-04,0,333.9,-330.9,4.0,False,감소,-113.74,0.727,True
2024-05,IT/소프트웨어,228,66903376060.0,2024-05,1,335.2,-107.19999999999999,5.0,False,감소,-113.74,0.727,True
2024-06,IT/소프트웨어,259,93836287814.0,2024-06,2,336.5,-77.5,6.0,False,감소,-113.74,0.727,True
2024-07,IT/소프트웨어,282,65175015220.0,2024-07,3,337.8,-55.80000000000001,7.0,False,감소,-113.74,0.727,True
2024-08,IT/소프트웨어,220,78641364796.0,2024-08,4,339.1,-119.10000000000002,8.0,False,감소,-113.74,0.727,True
2024-09,IT/소프트웨어,219,93670084913.0,2024-09,5,340.3,-121.30000000000001,9.0,False,감소,-113.74,0.727,True
2024-10,IT/소프트웨어,587,244627935133.0,2024-10,6,341.6,245.39999999999998,10.0,False,감소,-113.74,0.727,True
2024-11,IT/소프트웨어,860,339055545658.0,2024-11,7,342.9,517.1,11.0,False,감소,-113.74,0.727,True
2024-12,IT/소프트웨어,969,480788004704.0,2024-12,8,344.2,624.8,12.0,False,감소,-113.74,0.727,True
2025-01,IT/소프트웨어,409,124617743749.0,2025-01,9,345.5,63.5,1.0,False,감소,-113.74,0.727,True
2025-02,IT/소프트웨어,169,131137744241.0,2025-02,10,346.8,-177.8,2.0,False,감소,-113.74,0.727,True
2025-03,IT/소프트웨어,127,52904509941.0,2025-03,11,348.1,-221.10000000000002,3.0,False,감소,-113.74,0.727,True
2025-04,IT/소프트웨어,311,159414705239.0,2025-04,12,349.4,-38.39999999999998,4.0,False,감소,-113.74,0.727,True
2025-05,IT/소프트웨어,245,115592842181.0,2025-05,13,350.6,-105.60000000000002,5.0,False,감소,-113.74,0.727,True
2025-06,IT/소프트웨어,250,87380279133.0,2025-06,14,351.9,-101.89999999999998,6.0,False,감소,-113.74,0.727,True
2025-07,IT/소프트웨어,262,151533608572.0,2025-07,15,353.2,-91.19999999999999,7.0,False,감소,-113.74,0.727,True
2025-08,IT/소프트웨어,221,130257454193.0,2025-08,16,354.5,-133.5,8.0,False,감소,-113.74,0.727,True
2025-09,IT/소프트웨어,235,99397894298.0,2025-09,17,355.8,-120.80000000000001,9.0,False,감소,-113.74,0.727,True
2025-10,IT/소프트웨어,517,241574732622.0,2025-10,18,357.1,159.89999999999998,10.0,False,감소,-113.74,0.727,True
2025-11,IT/소프트웨어,728,287983257463.0,2025-11,19,358.4,369.6,11.0,False,감소,-113.74,0.727,True
2025-12,IT/소프트웨어,866,540404664271.0,2025-12,20,359.7,506.3,12.0,False,감소,-113.74,0.727,True
2026-01,IT/소프트웨어,408,137911086794.0,2026-01,21,360.9,47.10000000000002,1.0,False,감소,-113.74,0.727,True
2026-02,IT/소프트웨어,194,51107195413.0,2026-02,22,362.2,-168.2,2.0,False,감소,-113.74,0.727,True
2026-03,IT/소프트웨어,59,20524171133.0,2026-03,23,363.5,-304.5,3.0,False,감소,-113.74,0.727,True
2026-04,IT/소프트웨어,326,138751877660.0,2026-04,24,364.8,-38.80000000000001,4.0,False,감소,-113.74,0.727,True
2026-05,IT/소프트웨어,146,57418219067.0,2026-05,25,366.1,-220.10000000000002,5.0,False,감소,-113.74,0.727,True
2026-06,IT/소프트웨어,,,2026-06,26,277.7,,,True,감소,-113.74,0.727,True
2026-07,IT/소프트웨어,,,2026-07,27,295.2,,,True,감소,-113.74,0.727,True
2026-08,IT/소프트웨어,,,2026-08,28,243.6,,,True,감소,-113.74,0.727,True
2026-09,IT/소프트웨어,,,2026-09,29,250.2,,,True,감소,-113.74,0.727,True
2026-10,IT/소프트웨어,,,2026-10,30,575.2,,,True,감소,-113.74,0.727,True
2026-11,IT/소프트웨어,,,2026-11,31,817.2,,,True,감소,-113.74,0.727,True
2024-04,건설/감리,15,4188698000.0,2024-04,0,90.2,-75.2,4.0,False,증가,13.37,0.527,True
2024-05,건설/감리,80,27706931467.0,2024-05,1,90.3,-10.299999999999997,5.0,False,증가,13.37,0.527,True
2024-06,건설/감리,92,107315054330.0,2024-06,2,90.5,1.5,6.0,False,증가,13.37,0.527,True
2024-07,건설/감리,73,24427916100.0,2024-07,3,90.7,-17.700000000000003,7.0,False,증가,13.37,0.527,True
2024-08,건설/감리,167,79793204600.0,2024-08,4,90.8,76.2,8.0,False,증가,13.37,0.527,True
2024-09,건설/감리,146,87695638164.0,2024-09,5,91.0,55.0,9.0,False,증가,13.37,0.527,True
