district_cd,district,industry_cd,industry_nm,year,biz_count,emp_count,region,item_category
001001,수원시,002,Agriculture forestry and fishing,2022,26,264,경기도,
001001,수원시,003,Mining ＆ quarrying,2022,3,6,경기도,
001001,수원시,004,Manufacturing,2022,5493,39827,경기도,IT장비/전산
001001,수원시,005,Electricity gas steam and water supply,2022,73,654,경기도,시설유지보수
001001,수원시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,129,1477,경기도,폐기물/환경
001001,수원시,007,Construction,2022,9373,31550,경기도,건설/공사
001001,수원시,008,Wholesale and retail trade,2022,28383,66606,경기도,사무용품/소모품
001001,수원시,009,Transportation,2022,10918,21799,경기도,차량/운송
001001,수원시,010,Accommodation and food service activities,2022,16119,47462,경기도,
001001,수원시,011,Information and communications,2022,2507,9442,경기도,IT장비/전산
001001,수원시,012,Financial and insurance activities,2022,1203,13972,경기도,
001001,수원시,013,Real estate activites and renting and leasing,2022,6380,15773,경기도,
001001,수원시,014,Professional scientific and technical activities,2022,5156,64118,경기도,전문용역/컨설팅
001001,수원시,015,Business facilities managementand business support services,2022,3024,37724,경기도,시설유지보수
001001,수원시,016,Public administration ; compulsory social security,2022,146,21375,경기도,
001001,수원시,017,Education,2022,6317,39182,경기도,교육물품/교구
001001,수원시,018,Human health and social work activities,2022,3562,50988,경기도,의료/복지용품
001001,수원시,019,Arts sports and recreation related services,2022,3259,8814,경기도,
001001,수원시,020,Membership organizations repair and other personal services,2022,10211,19774,경기도,
001002,성남시,002,Agriculture forestry and fishing,2022,24,113,경기도,
001002,성남시,003,Mining ＆ quarrying,2022,1,1,경기도,
001002,성남시,004,Manufacturing,2022,6046,40545,경기도,IT장비/전산
001002,성남시,005,Electricity gas steam and water supply,2022,138,1500,경기도,시설유지보수
001002,성남시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,114,1642,경기도,폐기물/환경
001002,성남시,007,Construction,2022,5533,32174,경기도,건설/공사
001002,성남시,008,Wholesale and retail trade,2022,26158,76315,경기도,사무용품/소모품
001002,성남시,009,Transportation,2022,8702,17121,경기도,차량/운송
001002,성남시,010,Accommodation and food service activities,2022,12106,38539,경기도,
001002,성남시,011,Information and communications,2022,4905,90340,경기도,IT장비/전산
001002,성남시,012,Financial and insurance activities,2022,1077,14405,경기도,
001002,성남시,013,Real estate activites and renting and leasing,2022,6035,18250,경기도,
001002,성남시,014,Professional scientific and technical activities,2022,5670,58037,경기도,전문용역/컨설팅
001002,성남시,015,Business facilities managementand business support services,2022,2278,30511,경기도,시설유지보수
001002,성남시,016,Public administration ; compulsory social security,2022,132,12220,경기도,
001002,성남시,017,Education,2022,5309,34875,경기도,교육물품/교구
001002,성남시,018,Human health and social work activities,2022,3214,45595,경기도,의료/복지용품
001002,성남시,019,Arts sports and recreation related services,2022,2698,7874,경기도,
001002,성남시,020,Membership organizations repair and other personal services,2022,7456,17151,경기도,
001003,안양시,002,Agriculture forestry and fishing,2022,5,14,경기도,
001003,안양시,003,Mining ＆ quarrying,2022,2,32,경기도,
001003,안양시,004,Manufacturing,2022,5175,34523,경기도,IT장비/전산
001003,안양시,005,Electricity gas steam and water supply,2022,36,394,경기도,시설유지보수
001003,안양시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,77,1288,경기도,폐기물/환경
001003,안양시,007,Construction,2022,3884,22707,경기도,건설/공사
001003,안양시,008,Wholesale and retail trade,2022,17908,43726,경기도,사무용품/소모품
001003,안양시,009,Transportation,2022,7607,12937,경기도,차량/운송
001003,안양시,010,Accommodation and food service activities,2022,7402,20941,경기도,
001003,안양시,011,Information and communications,2022,2373,12575,경기도,IT장비/전산
001003,안양시,012,Financial and insurance activities,2022,693,7769,경기도,
001003,안양시,013,Real estate activites and renting and leasing,2022,3902,9565,경기도,
001003,안양시,014,Professional scientific and technical activities,2022,3960,29286,경기도,전문용역/컨설팅
001003,안양시,015,Business facilities managementand business support services,2022,1462,18839,경기도,시설유지보수
001003,안양시,016,Public administration ; compulsory social security,2022,72,6473,경기도,
001003,안양시,017,Education,2022,3065,19679,경기도,교육물품/교구
001003,안양시,018,Human health and social work activities,2022,1773,22038,경기도,의료/복지용품
001003,안양시,019,Arts sports and recreation related services,2022,1566,3921,경기도,
001003,안양시,020,Membership organizations repair and other personal services,2022,4760,9396,경기도,
001004,부천시,002,Agriculture forestry and fishing,2022,9,39,경기도,
001004,부천시,003,Mining ＆ quarrying,2022,0,0,경기도,
001004,부천시,004,Manufacturing,2022,13201,65870,경기도,IT장비/전산
001004,부천시,005,Electricity gas steam and water supply,2022,20,259,경기도,시설유지보수
001004,부천시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,138,1687,경기도,폐기물/환경
001004,부천시,007,Construction,2022,5794,22505,경기도,건설/공사
001004,부천시,008,Wholesale and retail trade,2022,21754,47875,경기도,사무용품/소모품
001004,부천시,009,Transportation,2022,9696,15129,경기도,차량/운송
001004,부천시,010,Accommodation and food service activities,2022,10649,27214,경기도,
001004,부천시,011,Information and communications,2022,1976,6296,경기도,IT장비/전산
001004,부천시,012,Financial and insurance activities,2022,836,9756,경기도,
001004,부천시,013,Real estate activites and renting and leasing,2022,4117,10029,경기도,
001004,부천시,014,Professional scientific and technical activities,2022,2816,10121,경기도,전문용역/컨설팅
001004,부천시,015,Business facilities managementand business support services,2022,2033,20579,경기도,시설유지보수
001004,부천시,016,Public administration ; compulsory social security,2022,81,6469,경기도,
001004,부천시,017,Education,2022,3438,21456,경기도,교육물품/교구
001004,부천시,018,Human health and social work activities,2022,2441,36132,경기도,의료/복지용품
001004,부천시,019,Arts sports and recreation related services,2022,2341,5228,경기도,
001004,부천시,020,Membership organizations repair and other personal services,2022,7388,13206,경기도,
001005,광명시,002,Agriculture forestry and fishing,2022,4,14,경기도,
001005,광명시,003,Mining ＆ quarrying,2022,0,0,경기도,
001005,광명시,004,Manufacturing,2022,2336,16411,경기도,IT장비/전산
001005,광명시,005,Electricity gas steam and water supply,2022,10,105,경기도,시설유지보수
001005,광명시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,48,385,경기도,폐기물/환경
001005,광명시,007,Construction,2022,1433,8082,경기도,건설/공사
001005,광명시,008,Wholesale and retail trade,2022,7424,19144,경기도,사무용품/소모품
001005,광명시,009,Transportation,2022,3369,6326,경기도,차량/운송
001005,광명시,010,Accommodation and food service activities,2022,3062,9524,경기도,
001005,광명시,011,Information and communications,2022,690,2375,경기도,IT장비/전산
001005,광명시,012,Financial and insurance activities,2022,165,1944,경기도,
001005,광명시,013,Real estate activites and renting and leasing,2022,1355,3640,경기도,
001005,광명시,014,Professional scientific and technical activities,2022,898,3842,경기도,전문용역/컨설팅
001005,광명시,015,Business facilities managementand business support services,2022,492,5218,경기도,시설유지보수
001005,광명시,016,Public administration ; compulsory social security,2022,42,3780,경기도,
001005,광명시,017,Education,2022,1484,8637,경기도,교육물품/교구
001005,광명시,018,Human health and social work activities,2022,915,12148,경기도,의료/복지용품
001005,광명시,019,Arts sports and recreation related services,2022,624,2595,경기도,
001005,광명시,020,Membership organizations repair and other personal services,2022,2043,3798,경기도,
001006,평택시,002,Agriculture forestry and fishing,2022,127,785,경기도,
001006,평택시,003,Mining ＆ quarrying,2022,5,42,경기도,
001006,평택시,004,Manufacturing,2022,5745,99320,경기도,IT장비/전산
001006,평택시,005,Electricity gas steam and water supply,2022,372,1652,경기도,시설유지보수
001006,평택시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,229,2043,경기도,폐기물/환경
001006,평택시,007,Construction,2022,7112,23272,경기도,건설/공사
001006,평택시,008,Wholesale and retail trade,2022,12869,29330,경기도,사무용품/소모품
001006,평택시,009,Transportation,2022,7487,18498,경기도,차량/운송
001006,평택시,010,Accommodation and food service activities,2022,9468,24251,경기도,
001006,평택시,011,Information and communications,2022,736,1655,경기도,IT장비/전산
001006,평택시,012,Financial and insurance activities,2022,366,3770,경기도,
001006,평택시,013,Real estate activites and renting and leasing,2022,3646,6757,경기도,
001006,평택시,014,Professional scientific and technical activities,2022,1576,7236,경기도,전문용역/컨설팅
001006,평택시,015,Business facilities managementand business support services,2022,1796,14340,경기도,시설유지보수
001006,평택시,016,Public administration ; compulsory social security,2022,90,6606,경기도,
001006,평택시,017,Education,2022,2395,14112,경기도,교육물품/교구
001006,평택시,018,Human health and social work activities,2022,1465,19065,경기도,의료/복지용품
001006,평택시,019,Arts sports and recreation related services,2022,1310,2769,경기도,
001006,평택시,020,Membership organizations repair and other personal services,2022,4857,8346,경기도,
001007,안산시,002,Agriculture forestry and fishing,2022,48,219,경기도,
001007,안산시,003,Mining ＆ quarrying,2022,7,53,경기도,
001007,안산시,004,Manufacturing,2022,12335,119210,경기도,IT장비/전산
001007,안산시,005,Electricity gas steam and water supply,2022,84,849,경기도,시설유지보수
001007,안산시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,223,2158,경기도,폐기물/환경
001007,안산시,007,Construction,2022,9688,24867,경기도,건설/공사
001007,안산시,008,Wholesale and retail trade,2022,17747,39540,경기도,사무용품/소모품
001007,안산시,009,Transportation,2022,9489,15291,경기도,차량/운송
001007,안산시,010,Accommodation and food service activities,2022,10593,25355,경기도,
001007,안산시,011,Information and communications,2022,999,2626,경기도,IT장비/전산
001007,안산시,012,Financial and insurance activities,2022,589,7217,경기도,
001007,안산시,013,Real estate activites and renting and leasing,2022,3526,8034,경기도,
001007,안산시,014,Professional scientific and technical activities,2022,2593,11124,경기도,전문용역/컨설팅
001007,안산시,015,Business facilities managementand business support services,2022,2073,14188,경기도,시설유지보수
001007,안산시,016,Public administration ; compulsory social security,2022,96,6636,경기도,
001007,안산시,017,Education,2022,2534,18199,경기도,교육물품/교구
001007,안산시,018,Human health and social work activities,2022,1878,29084,경기도,의료/복지용품
001007,안산시,019,Arts sports and recreation related services,2022,2097,4907,경기도,
001007,안산시,020,Membership organizations repair and other personal services,2022,5924,10142,경기도,
001008,과천시,002,Agriculture forestry and fishing,2022,7,27,경기도,
001008,과천시,003,Mining ＆ quarrying,2022,0,0,경기도,
001008,과천시,004,Manufacturing,2022,141,461,경기도,IT장비/전산
001008,과천시,005,Electricity gas steam and water supply,2022,8,13,경기도,시설유지보수
001008,과천시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,16,413,경기도,폐기물/환경
