city,item_category,survival_1y,survival_3y,survival_5y,dissolution_rate
강원특별자치도,IT/전자,58.7,42.4,33.85,0.107
강원특별자치도,건설/시설,66.0,50.7,38.9,0.063
강원특별자치도,기타,64.45,48.11,38.93,0.0962
강원특별자치도,식품/농업,65.3,42.2,29.5,0.128
강원특별자치도,의료/복지,78.9,68.8,54.1,0.034
경기도,IT/전자,65.65,52.6,44.9,0.086
경기도,건설/시설,68.3,52.1,41.2,0.087
경기도,기타,65.04,50.38,40.58,0.1023
경기도,식품/농업,68.5,40.0,26.6,0.15
경기도,의료/복지,83.8,75.0,65.3,0.031
경상남도,IT/전자,65.0,48.95,39.4,0.099
경상남도,건설/시설,65.5,52.9,39.8,0.064
경상남도,기타,65.36,48.02,39.98,0.0989
경상남도,식품/농업,64.6,39.9,27.1,0.147
경상남도,의료/복지,79.2,69.5,57.7,0.036
경상북도,IT/전자,62.1,47.3,35.05,0.1135
경상북도,건설/시설,66.8,53.5,42.3,0.06
경상북도,기타,64.66,45.29,38.87,0.0993
경상북도,식품/농업,65.9,39.8,28.3,0.141
경상북도,의료/복지,79.1,63.9,61.0,0.027
광주광역시,IT/전자,65.65,46.35,38.95,0.094
광주광역시,건설/시설,67.9,55.1,42.8,0.074
광주광역시,기타,67.9,46.92,38.84,0.0973
광주광역시,식품/농업,64.9,35.7,24.3,0.165
광주광역시,의료/복지,84.2,67.6,61.1,0.036
대구광역시,IT/전자,65.6,48.4,45.85,0.0915
대구광역시,건설/시설,69.0,53.3,45.0,0.074
대구광역시,기타,67.36,48.77,41.42,0.1027
대구광역시,식품/농업,65.6,39.2,26.4,0.154
대구광역시,의료/복지,86.8,76.6,65.1,0.027
대전광역시,IT/전자,64.7,51.55,43.05,0.0885
대전광역시,건설/시설,69.9,54.0,42.7,0.07
대전광역시,기타,67.24,49.38,39.62,0.1146
대전광역시,식품/농업,66.2,38.3,26.7,0.153
대전광역시,의료/복지,86.3,70.1,62.9,0.034
부산광역시,IT/전자,67.75,49.2,42.05,0.0955
부산광역시,건설/시설,65.9,49.6,42.0,0.08
부산광역시,기타,65.25,47.38,38.03,0.1117
부산광역시,식품/농업,66.6,40.3,27.2,0.148
부산광역시,의료/복지,90.2,69.1,64.4,0.033
서울특별시,IT/전자,66.75,50.7,43.3,0.0865
서울특별시,건설/시설,67.8,53.0,43.6,0.071
서울특별시,기타,65.07,46.52,37.09,0.1
서울특별시,식품/농업,69.2,42.5,29.2,0.142
서울특별시,의료/복지,87.3,79.6,64.7,0.032
세종특별자치시,IT/전자,63.65,43.25,37.15,0.1095
세종특별자치시,건설/시설,67.2,46.6,39.6,0.083
세종특별자치시,기타,65.63,46.35,44.03,0.1142
세종특별자치시,식품/농업,69.3,39.3,25.3,0.149
세종특별자치시,의료/복지,82.8,70.3,77.2,0.048
울산광역시,IT/전자,61.55,38.25,32.15,0.1115
울산광역시,건설/시설,66.9,50.4,37.8,0.071
울산광역시,기타,66.29,49.38,38.58,0.1008
울산광역시,식품/농업,67.1,38.8,25.1,0.149
울산광역시,의료/복지,90.6,79.4,63.2,0.029
인천광역시,IT/전자,65.05,50.45,42.4,0.0965
인천광역시,건설/시설,68.1,51.5,42.2,0.093
인천광역시,기타,65.51,46.28,40.8,0.1106
인천광역시,식품/농업,67.2,40.4,25.6,0.153
인천광역시,의료/복지,87.2,71.5,59.4,0.036
전라남도,IT/전자,59.5,47.15,41.05,0.1055
전라남도,건설/시설,67.3,54.1,42.4,0.059
전라남도,기타,62.54,47.54,37.75,0.1057
전라남도,식품/농업,66.1,42.0,28.1,0.139
전라남도,의료/복지,75.4,65.3,55.0,0.043
전라북도,IT/전자,60.0,45.9,38.1,0.1245
전라북도,건설/시설,62.8,49.6,40.1,0.097
전라북도,기타,61.77,50.41,39.11,0.1074
전라북도,식품/농업,62.9,37.5,25.9,0.165
전라북도,의료/복지,73.6,67.4,59.8,0.034
제주특별자치도,IT/전자,60.25,42.4,41.7,0.12
제주특별자치도,건설/시설,64.2,52.2,38.0,0.083
제주특별자치도,기타,64.68,50.59,38.56,0.0996
제주특별자치도,식품/농업,67.3,42.4,29.8,0.138
제주특별자치도,의료/복지,82.5,72.1,78.2,0.025
충청남도,IT/전자,65.35,47.1,39.15,0.1025
충청남도,건설/시설,66.1,50.9,39.3,0.069
충청남도,기타,63.59,48.85,39.84,0.1034
충청남도,식품/농업,66.4,40.7,26.9,0.139
충청남도,의료/복지,80.4,69.0,56.1,0.03
충청북도,IT/전자,63.45,49.65,38.6,0.106
충청북도,건설/시설,66.3,52.3,42.7,0.067
충청북도,기타,68.13,50.44,40.22,0.0956
충청북도,식품/농업,62.6,38.0,25.6,0.157
충청북도,의료/복지,81.8,68.2,50.8,0.039
강원특별자치도,전체,64.73,48.42,38.69,
경기도,전체,66.45,51.45,41.69,
경상남도,전체,66.02,49.08,40.17,
경상북도,전체,65.33,46.62,39.26,
광주광역시,전체,68.36,47.83,39.5,
대구광역시,전체,68.19,49.99,42.59,
대전광역시,전체,68.11,50.42,40.74,
부산광역시,전체,67.02,48.52,39.56,
서울특별시,전체,66.87,48.83,39.13,
세종특별자치시,전체,66.66,46.96,43.83,
울산광역시,전체,67.19,49.28,38.44,
인천광역시,전체,66.9,48.11,41.22,
전라남도,전체,63.33,48.49,38.74,
전라북도,전체,62.32,50.11,39.45,
제주특별자치도,전체,65.3,50.51,40.59,
충청남도,전체,64.94,49.43,39.92,
충청북도,전체,67.97,50.74,39.96,
