item_category,city,opportunity_score,competition_score,bid_count,amount_sum,district_count,consumer_fit_score,hub_score,rank_in_item,judgment_label,survival_5y,dissolution_rate,adjusted_score,adjusted_score_100,opp_score_100,consumer_fit_100,competition_100
IT장비/전산,강원특별자치도,29.36,0.99,664,233327774646,24,0.27,87.1,2,고기회 지역,33.85,0.107,8.87,23.5,39.1,26.8,99.4
IT장비/전산,경기도,26.05,1.0,751,298953241966,36,0.89,100.0,6,소비층 적합,44.9,0.086,10.69,33.5,24.1,89.4,100.0
IT장비/전산,경상남도,24.19,1.0,126,12714207367,16,0.36,7.7,13,기회 검토,39.4,0.099,8.59,22.0,15.6,35.8,100.0
IT장비/전산,경상북도,25.96,1.0,175,27922833076,22,0.11,14.9,7,기회 검토,35.05,0.1135,8.07,19.1,23.7,10.6,100.0
IT장비/전산,광주광역시,24.18,1.0,537,355129131035,22,0.63,68.4,14,소비층 적합,38.95,0.094,8.53,21.6,15.6,63.4,100.0
IT장비/전산,대구광역시,25.37,1.0,685,216164408309,30,0.49,90.3,12,물류 거점 후보,45.85,0.0915,10.57,32.8,21.0,48.7,100.0
IT장비/전산,대전광역시,25.74,0.96,384,208624871208,19,0.66,45.8,9,소비층 적합,43.05,0.0885,10.1,30.3,22.6,65.8,95.6
IT장비/전산,부산광역시,23.72,0.99,602,298551218804,38,0.43,78.0,15,물류 거점 후보,42.05,0.0955,9.02,24.3,13.5,43.1,98.6
IT장비/전산,서울특별시,23.44,1.0,232,89008790771,25,0.88,23.3,17,소비층 적합,43.3,0.0865,9.27,25.7,12.2,87.8,100.0
IT장비/전산,세종특별자치시,29.1,1.0,152,82902816180,2,1.0,11.5,3,고기회 지역,37.15,0.1095,9.63,27.7,37.9,100.0,100.0
IT장비/전산,울산광역시,25.37,1.0,425,146469562526,13,0.63,51.8,11,소비층 적합,32.15,0.1115,7.25,14.6,21.0,63.4,100.0
IT장비/전산,인천광역시,25.52,0.98,557,307109073214,18,0.78,71.3,10,소비층 적합,42.4,0.0965,9.78,28.5,21.6,78.0,98.0
IT장비/전산,전라남도,26.08,1.0,106,52413948189,18,0.0,4.7,5,기회 검토,41.05,0.1055,9.58,27.4,24.2,0.0,100.0
IT장비/전산,전라북도,28.41,1.0,698,165140496408,20,,92.2,4,고기회 지역,38.1,0.1245,9.48,26.9,34.8,,99.7
IT장비/전산,제주특별자치도,36.6,1.0,626,161816996561,3,0.53,81.5,1,고기회 지역,41.7,0.12,13.43,48.5,72.0,52.8,100.0
IT장비/전산,충청남도,25.82,1.0,74,16698898534,11,0.29,0.0,8,기회 검토,39.15,0.1025,9.07,24.6,23.0,29.3,100.0
IT장비/전산,충청북도,23.62,1.0,86,10554659564,9,0.37,1.8,16,기회 검토,38.6,0.106,8.15,19.5,13.0,37.4,100.0
건설/공사,강원특별자치도,30.63,0.96,1081,667654109487,25,0.44,100.0,2,고기회 지역,38.9,0.063,11.16,36.1,44.8,44.4,95.6
건설/공사,경기도,23.47,1.0,101,17699709940,23,0.93,2.3,15,소비층 적합,41.2,0.087,8.83,23.3,12.3,93.1,100.0
건설/공사,경상남도,24.24,0.96,318,78656416524,24,0.53,23.9,12,기회 검토,39.8,0.064,9.03,24.4,15.8,52.8,96.2
건설/공사,경상북도,24.48,1.0,514,62711419430,29,0.17,43.5,11,기회 검토,42.3,0.06,9.73,28.2,16.9,16.7,99.6
건설/공사,광주광역시,23.65,0.98,686,422370685726,28,0.49,60.6,14,기회 검토,42.8,0.074,9.37,26.2,13.2,48.6,97.9
건설/공사,대구광역시,25.68,0.98,733,1108925568427,31,0.5,65.3,7,기회 검토,45.0,0.074,10.7,33.6,22.4,50.3,98.3
건설/공사,대전광역시,24.65,0.95,954,588629167156,31,0.53,87.3,10,물류 거점 후보,42.7,0.07,9.79,28.6,17.7,52.8,95.1
건설/공사,부산광역시,21.63,0.9,729,714891268489,48,0.44,64.9,17,기회 검토,42.0,0.08,8.36,20.7,4.0,44.4,90.1
건설/공사,서울특별시,22.87,0.99,234,325926402212,25,0.72,15.6,16,소비층 적합,43.6,0.071,9.26,25.6,9.6,72.2,99.2
건설/공사,세종특별자치시,36.47,1.0,78,44273388135,1,1.0,0.0,1,고기회 지역,39.6,0.083,13.24,47.5,71.4,100.0,100.0
건설/공사,울산광역시,25.06,0.9,681,468870259302,21,0.83,60.1,8,소비층 적합,37.8,0.071,8.8,23.1,19.6,83.3,90.0
건설/공사,인천광역시,26.36,0.95,868,1068932763453,25,0.74,78.8,6,소비층 적합,42.2,0.093,10.09,30.2,25.4,73.6,94.9
건설/공사,전라남도,24.83,0.99,303,135205782700,27,0.0,22.4,9,기회 검토,42.4,0.059,9.91,29.2,18.5,0.0,99.4
건설/공사,전라북도,27.76,0.96,1024,471538304700,23,,94.3,5,고기회 지역,40.1,0.097,10.05,30.0,31.8,,96.2
건설/공사,제주특별자치도,29.78,0.97,452,396972735850,8,0.65,37.3,3,고기회 지역,38.0,0.083,10.38,31.8,41.0,65.3,97.4
건설/공사,충청남도,27.88,1.0,387,29989594073,21,0.44,30.8,4,고기회 지역,39.3,0.069,10.2,30.8,32.4,44.4,100.0
건설/공사,충청북도,23.92,1.0,210,38001347005,15,0.49,13.2,13,기회 검토,42.7,0.067,9.53,27.1,14.4,48.6,100.0
경비/보안,강원특별자치도,22.57,1.0,44,52878371171,7,0.44,24.1,11,기회 검토,38.93,0.0962,7.94,18.4,8.3,44.4,100.0
경비/보안,경기도,22.45,1.0,74,18706030808,15,0.93,43.0,12,소비층 적합,40.58,0.1023,8.18,19.7,7.7,93.1,100.0
경비/보안,경상남도,24.91,1.0,6,4743992000,2,0.53,0.0,4,데이터 부족,39.98,0.0989,8.97,24.1,18.9,52.8,100.0
경비/보안,경상북도,22.26,1.0,21,11779240510,10,0.17,9.5,14,기회 검토,38.87,0.0993,7.79,17.6,6.8,16.7,100.0
경비/보안,광주광역시,22.93,1.0,125,33182917433,8,0.49,75.3,10,물류 거점 후보,38.84,0.0973,8.04,18.9,9.9,48.6,100.0
경비/보안,대구광역시,23.26,1.0,125,91661066388,9,0.5,75.3,7,물류 거점 후보,41.42,0.1027,8.64,22.2,11.4,50.3,100.0
경비/보안,대전광역시,22.28,1.0,45,22069572100,3,0.53,24.7,13,기회 검토,39.62,0.1146,7.82,17.7,6.9,52.8,100.0
경비/보안,부산광역시,24.21,1.0,164,525348968825,15,0.44,100.0,5,물류 거점 후보,38.03,0.1117,8.18,19.7,15.7,44.4,100.0
경비/보안,서울특별시,20.89,1.0,22,6401021600,15,0.72,10.1,16,소비층 적합,37.09,0.1,6.97,13.1,0.6,72.2,100.0
경비/보안,세종특별자치시,30.4,1.0,18,5704307709,1,1.0,7.6,2,고기회 지역,44.03,0.1142,11.86,39.9,43.8,100.0,100.0
경비/보안,울산광역시,27.45,1.0,76,14373854296,5,0.83,44.3,3,고기회 지역,38.58,0.1008,9.52,27.1,30.4,83.3,100.0
경비/보안,인천광역시,23.89,1.0,137,418523932010,12,0.74,82.9,6,소비층 적합,40.8,0.1106,8.67,22.4,14.2,73.6,100.0
경비/보안,전라북도,22.98,1.0,44,4788382281,9,,24.1,9,기회 검토,39.11,0.1074,8.02,18.8,10.1,,100.0
경비/보안,제주특별자치도,36.64,1.0,60,8864927262,1,0.65,34.2,1,고기회 지역,38.56,0.0996,12.72,44.6,72.2,65.3,100.0
경비/보안,충청남도,23.2,1.0,18,895887520,5,0.44,7.6,8,기회 검토,39.84,0.1034,8.29,20.3,11.1,44.4,100.0
경비/보안,충청북도,22.01,1.0,9,967990130,3,0.49,1.9,15,데이터 부족,40.22,0.0956,8.01,18.8,5.7,48.6,100.0
교육물품/교구,강원특별자치도,25.83,1.0,199,22521398540,21,0.16,22.8,8,기회 검토,38.69,,8.99,24.2,23.0,15.5,100.0
교육물품/교구,경기도,25.66,1.0,846,125278397639,42,0.74,100.0,9,소비층 적합,41.69,,9.63,27.7,22.3,74.1,100.0
교육물품/교구,경상남도,32.28,1.0,13,4276424500,1,0.3,0.6,2,고기회 지역,40.17,,11.67,38.9,52.4,30.2,100.0
교육물품/교구,경상북도,25.33,1.0,12,1217162400,3,0.08,0.5,10,기회 검토,39.26,,8.95,23.9,20.8,7.8,100.0
교육물품/교구,광주광역시,24.53,1.0,94,8303911279,5,0.5,10.3,11,기회 검토,39.5,,8.72,22.7,17.2,50.0,100.0
