city,district,inds_group,store_count,population,stores_per_10k
강원특별자치도,강릉시,관광/여가,196,207543,9.44
강원특별자치도,강릉시,교육,86,207543,4.14
강원특별자치도,강릉시,기타,311,207543,14.98
강원특별자치도,강릉시,부동산,117,207543,5.64
강원특별자치도,강릉시,생활서비스,130,207543,6.26
강원특별자치도,강릉시,소매,1279,207543,61.63
강원특별자치도,강릉시,수리/개인서비스,885,207543,42.64
강원특별자치도,강릉시,숙박,314,207543,15.13
강원특별자치도,강릉시,음식/카페,1658,207543,79.89
강원특별자치도,강릉시,의료/복지,24,207543,1.16
강원특별자치도,고성군,관광/여가,78,26920,28.97
강원특별자치도,고성군,교육,82,26920,30.46
강원특별자치도,고성군,기타,95,26920,35.29
강원특별자치도,고성군,부동산,47,26920,17.46
강원특별자치도,고성군,생활서비스,83,26920,30.83
강원특별자치도,고성군,소매,575,26920,213.6
강원특별자치도,고성군,수리/개인서비스,138,26920,51.26
강원특별자치도,고성군,숙박,536,26920,199.11
강원특별자치도,고성군,음식/카페,886,26920,329.12
강원특별자치도,고성군,의료/복지,21,26920,7.8
강원특별자치도,동해시,관광/여가,175,87571,19.98
강원특별자치도,동해시,교육,293,87571,33.46
강원특별자치도,동해시,기타,218,87571,24.89
강원특별자치도,동해시,부동산,55,87571,6.28
강원특별자치도,동해시,생활서비스,191,87571,21.81
강원특별자치도,동해시,소매,1378,87571,157.36
강원특별자치도,동해시,수리/개인서비스,673,87571,76.85
강원특별자치도,동해시,숙박,218,87571,24.89
강원특별자치도,동해시,음식/카페,1698,87571,193.9
강원특별자치도,동해시,의료/복지,101,87571,11.53
강원특별자치도,삼척시,관광/여가,162,61464,26.36
강원특별자치도,삼척시,교육,162,61464,26.36
강원특별자치도,삼척시,기타,168,61464,27.33
강원특별자치도,삼척시,부동산,39,61464,6.35
강원특별자치도,삼척시,생활서비스,148,61464,24.08
강원특별자치도,삼척시,소매,1039,61464,169.04
강원특별자치도,삼척시,수리/개인서비스,405,61464,65.89
강원특별자치도,삼척시,숙박,402,61464,65.4
강원특별자치도,삼척시,음식/카페,1625,61464,264.38
강원특별자치도,삼척시,의료/복지,54,61464,8.79
강원특별자치도,속초시,관광/여가,186,80754,23.03
강원특별자치도,속초시,교육,136,80754,16.84
강원특별자치도,속초시,기타,244,80754,30.22
강원특별자치도,속초시,부동산,172,80754,21.3
강원특별자치도,속초시,생활서비스,156,80754,19.32
강원특별자치도,속초시,소매,1193,80754,147.73
강원특별자치도,속초시,수리/개인서비스,566,80754,70.09
강원특별자치도,속초시,숙박,328,80754,40.62
강원특별자치도,속초시,음식/카페,1982,80754,245.44
강원특별자치도,속초시,의료/복지,37,80754,4.58
강원특별자치도,양구군,관광/여가,50,20552,24.33
강원특별자치도,양구군,교육,72,20552,35.03
강원특별자치도,양구군,기타,61,20552,29.68
강원특별자치도,양구군,부동산,7,20552,3.41
강원특별자치도,양구군,생활서비스,52,20552,25.3
강원특별자치도,양구군,소매,367,20552,178.57
강원특별자치도,양구군,수리/개인서비스,157,20552,76.39
강원특별자치도,양구군,숙박,148,20552,72.01
강원특별자치도,양구군,음식/카페,516,20552,251.07
강원특별자치도,양구군,의료/복지,15,20552,7.3
강원특별자치도,양양군,관광/여가,117,27470,42.59
강원특별자치도,양양군,교육,148,27470,53.88
강원특별자치도,양양군,기타,96,27470,34.95
강원특별자치도,양양군,부동산,50,27470,18.2
강원특별자치도,양양군,생활서비스,104,27470,37.86
강원특별자치도,양양군,소매,625,27470,227.52
강원특별자치도,양양군,수리/개인서비스,163,27470,59.34
강원특별자치도,양양군,숙박,732,27470,266.47
강원특별자치도,양양군,음식/카페,1027,27470,373.86
강원특별자치도,양양군,의료/복지,18,27470,6.55
강원특별자치도,영월군,관광/여가,131,36603,35.79
강원특별자치도,영월군,교육,99,36603,27.05
강원특별자치도,영월군,기타,111,36603,30.33
강원특별자치도,영월군,부동산,31,36603,8.47
강원특별자치도,영월군,생활서비스,118,36603,32.24
강원특별자치도,영월군,소매,715,36603,195.34
강원특별자치도,영월군,수리/개인서비스,201,36603,54.91
강원특별자치도,영월군,숙박,416,36603,113.65
강원특별자치도,영월군,음식/카페,852,36603,232.77
강원특별자치도,영월군,의료/복지,28,36603,7.65
강원특별자치도,원주시,관광/여가,188,362159,5.19
강원특별자치도,원주시,교육,100,362159,2.76
강원특별자치도,원주시,기타,353,362159,9.75
강원특별자치도,원주시,부동산,220,362159,6.07
강원특별자치도,원주시,생활서비스,162,362159,4.47
강원특별자치도,원주시,소매,1410,362159,38.93
강원특별자치도,원주시,수리/개인서비스,1003,362159,27.7
