city,district,item_category,target_age_ratio,consumer_fit_score
강원특별자치도,강릉시,방역/소독,0.575,0.96
강원특별자치도,강릉시,폐기물/환경,0.455,0.9545
강원특별자치도,강릉시,조경/녹지관리,0.455,0.9545
강원특별자치도,강릉시,의료/복지용품,0.333,0.734
강원특별자치도,강릉시,시설유지보수,0.42,0.4444
강원특별자치도,강릉시,차량/운송,0.42,0.4444
강원특별자치도,강릉시,전문용역/컨설팅,0.42,0.4444
강원특별자치도,강릉시,경비/보안,0.42,0.4444
강원특별자치도,강릉시,건설/공사,0.42,0.4444
강원특별자치도,강릉시,급수/전기/설비,0.42,0.4444
강원특별자치도,강릉시,보험/금융,0.42,0.4444
강원특별자치도,강릉시,청소/환경미화,0.42,0.4444
강원특별자치도,강릉시,IT장비/전산,0.365,0.2683
강원특별자치도,강릉시,인쇄/홍보물,0.365,0.2683
강원특별자치도,강릉시,행사/운영용역,0.365,0.2683
강원특별자치도,강릉시,사무용품/소모품,0.365,0.2683
강원특별자치도,강릉시,기타/미분류,0.365,0.2683
강원특별자치도,강릉시,급식/식자재,0.367,0.1734
강원특별자치도,강릉시,교육물품/교구,0.247,0.1552
강원특별자치도,고성군,방역/소독,0.575,0.96
강원특별자치도,고성군,폐기물/환경,0.455,0.9545
강원특별자치도,고성군,조경/녹지관리,0.455,0.9545
강원특별자치도,고성군,의료/복지용품,0.333,0.734
강원특별자치도,고성군,시설유지보수,0.42,0.4444
강원특별자치도,고성군,차량/운송,0.42,0.4444
강원특별자치도,고성군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,고성군,경비/보안,0.42,0.4444
강원특별자치도,고성군,건설/공사,0.42,0.4444
강원특별자치도,고성군,급수/전기/설비,0.42,0.4444
강원특별자치도,고성군,보험/금융,0.42,0.4444
강원특별자치도,고성군,청소/환경미화,0.42,0.4444
강원특별자치도,고성군,IT장비/전산,0.365,0.2683
강원특별자치도,고성군,인쇄/홍보물,0.365,0.2683
강원특별자치도,고성군,행사/운영용역,0.365,0.2683
강원특별자치도,고성군,사무용품/소모품,0.365,0.2683
강원특별자치도,고성군,기타/미분류,0.365,0.2683
강원특별자치도,고성군,급식/식자재,0.367,0.1734
강원특별자치도,고성군,교육물품/교구,0.247,0.1552
강원특별자치도,동해시,방역/소독,0.575,0.96
강원특별자치도,동해시,폐기물/환경,0.455,0.9545
강원특별자치도,동해시,조경/녹지관리,0.455,0.9545
강원특별자치도,동해시,의료/복지용품,0.333,0.734
강원특별자치도,동해시,시설유지보수,0.42,0.4444
강원특별자치도,동해시,차량/운송,0.42,0.4444
강원특별자치도,동해시,전문용역/컨설팅,0.42,0.4444
강원특별자치도,동해시,경비/보안,0.42,0.4444
강원특별자치도,동해시,건설/공사,0.42,0.4444
강원특별자치도,동해시,급수/전기/설비,0.42,0.4444
강원특별자치도,동해시,보험/금융,0.42,0.4444
강원특별자치도,동해시,청소/환경미화,0.42,0.4444
강원특별자치도,동해시,IT장비/전산,0.365,0.2683
강원특별자치도,동해시,인쇄/홍보물,0.365,0.2683
강원특별자치도,동해시,행사/운영용역,0.365,0.2683
강원특별자치도,동해시,사무용품/소모품,0.365,0.2683
강원특별자치도,동해시,기타/미분류,0.365,0.2683
강원특별자치도,동해시,급식/식자재,0.367,0.1734
강원특별자치도,동해시,교육물품/교구,0.247,0.1552
강원특별자치도,삼척시,방역/소독,0.575,0.96
강원특별자치도,삼척시,폐기물/환경,0.455,0.9545
강원특별자치도,삼척시,조경/녹지관리,0.455,0.9545
강원특별자치도,삼척시,의료/복지용품,0.333,0.734
강원특별자치도,삼척시,시설유지보수,0.42,0.4444
강원특별자치도,삼척시,차량/운송,0.42,0.4444
강원특별자치도,삼척시,전문용역/컨설팅,0.42,0.4444
강원특별자치도,삼척시,경비/보안,0.42,0.4444
강원특별자치도,삼척시,건설/공사,0.42,0.4444
강원특별자치도,삼척시,급수/전기/설비,0.42,0.4444
강원특별자치도,삼척시,보험/금융,0.42,0.4444
강원특별자치도,삼척시,청소/환경미화,0.42,0.4444
강원특별자치도,삼척시,IT장비/전산,0.365,0.2683
강원특별자치도,삼척시,인쇄/홍보물,0.365,0.2683
강원특별자치도,삼척시,행사/운영용역,0.365,0.2683
강원특별자치도,삼척시,사무용품/소모품,0.365,0.2683
강원특별자치도,삼척시,기타/미분류,0.365,0.2683
강원특별자치도,삼척시,급식/식자재,0.367,0.1734
강원특별자치도,삼척시,교육물품/교구,0.247,0.1552
강원특별자치도,속초시,방역/소독,0.575,0.96
강원특별자치도,속초시,폐기물/환경,0.455,0.9545
강원특별자치도,속초시,조경/녹지관리,0.455,0.9545
강원특별자치도,속초시,의료/복지용품,0.333,0.734
강원특별자치도,속초시,시설유지보수,0.42,0.4444
강원특별자치도,속초시,차량/운송,0.42,0.4444
강원특별자치도,속초시,전문용역/컨설팅,0.42,0.4444
강원특별자치도,속초시,경비/보안,0.42,0.4444
강원특별자치도,속초시,건설/공사,0.42,0.4444
강원특별자치도,속초시,급수/전기/설비,0.42,0.4444
강원특별자치도,속초시,보험/금융,0.42,0.4444
강원특별자치도,속초시,청소/환경미화,0.42,0.4444
강원특별자치도,속초시,IT장비/전산,0.365,0.2683
강원특별자치도,속초시,인쇄/홍보물,0.365,0.2683
강원특별자치도,속초시,행사/운영용역,0.365,0.2683
강원특별자치도,속초시,사무용품/소모품,0.365,0.2683
강원특별자치도,속초시,기타/미분류,0.365,0.2683
강원특별자치도,속초시,급식/식자재,0.367,0.1734
강원특별자치도,속초시,교육물품/교구,0.247,0.1552
강원특별자치도,양구군,방역/소독,0.575,0.96
강원특별자치도,양구군,폐기물/환경,0.455,0.9545
강원특별자치도,양구군,조경/녹지관리,0.455,0.9545
강원특별자치도,양구군,의료/복지용품,0.333,0.734
강원특별자치도,양구군,시설유지보수,0.42,0.4444
