city,district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,competition_score,opportunity_score,recommendation_flag,avg_lead_time_days
제주특별자치도,제주시,전국 주요 지역,IT장비/전산,679,207290370550.0,305287732.7687776,2026-05-15 17:08:22,1.0,0.017129674264235163,1.0,0.996,75.35,추천,11.2
제주특별자치도,제주시,전국 주요 지역,행사/운영용역,643,156877400161.0,243977294.18506998,2026-05-13 16:44:27,0.9469026548672567,0.012963741427293245,0.9375,1.0,72.26,추천,11.4
제주특별자치도,제주시,전국 주요 지역,폐기물/환경,582,118242243331.0,203165366.54810998,2026-05-15 09:28:39,0.8569321533923304,0.009771081537257942,1.0,0.998,69.48,제외,6.4
제주특별자치도,제주시,전국 주요 지역,시설유지보수,605,84928258337.0,140377286.507438,2026-05-14 10:32:52,0.8908554572271387,0.007018142701378968,0.9677419354838709,0.922,68.77,추천,6.6
전라북도,전라북도,전국 주요 지역,행사/운영용역,493,89965613179.0,182486030.78904665,2026-05-15 19:03:34,0.7256637168141593,0.007434410217172782,1.0,0.998,64.17,추천,12.0
경상북도,경상북도,전국 주요 지역,행사/운영용역,458,92351231555.0,201640243.56986898,2026-05-15 13:42:42,0.6740412979351033,0.007631548490365249,1.0,1.0,62.15,추천,10.9
제주특별자치도,제주시,전국 주요 지역,차량/운송,301,27452028780.0,91202753.42192692,2026-05-15 16:57:39,0.4424778761061947,0.0022685294528931458,1.0,1.0,52.76,추천,6.0
제주특별자치도,제주시,전국 주요 지역,건설/공사,299,236770751130.545,791875421.8412876,2026-05-15 14:32:53,0.43952802359882004,0.019565818862706093,1.0,0.963,52.33,제외,11.1
경상북도,경상북도,전국 주요 지역,IT장비/전산,282,70316236589.0,249348356.69858155,2026-05-15 16:40:45,0.4144542772861357,0.005810661754622756,1.0,1.0,51.72,추천,10.6
제주특별자치도,제주시,전국 주요 지역,기타/미분류,276,47008566374.0,170320892.65942028,2026-05-15 17:34:54,0.4056047197640118,0.0038846060599861195,1.0,1.0,51.32,제외,9.0
전라북도,전라북도,전국 주요 지역,IT장비/전산,278,89028219203.0,320245392.81654674,2026-05-14 09:52:18,0.4085545722713864,0.0073569476055544425,0.9677419354838709,1.0,51.04,추천,10.6
전라북도,전주시,전국 주요 지역,폐기물/환경,244,141151144303.0,578488296.3237705,2026-05-15 13:31:08,0.3584070796460177,0.011664184484398099,1.0,0.996,49.55,제외,5.7
전라북도,군산시,전국 주요 지역,폐기물/환경,261,97513583287.0,373615261.6360153,2026-05-13 15:36:17,0.3834808259587021,0.008058145265564897,0.9375,0.992,49.44,제외,6.0
제주특별자치도,제주시,전국 주요 지역,전문용역/컨설팅,239,33415198194.0,139812544.74476987,2026-05-13 15:28:41,0.35103244837758113,0.0027613027031567483,0.9375,1.0,48.17,추천,12.7
전라남도,전라남도,전국 주요 지역,행사/운영용역,223,47953112736.0,215036379.9820628,2026-05-14 14:49:26,0.3274336283185841,0.003962659717112588,0.9677419354838709,1.0,47.71,추천,13.6
전라북도,전라북도,전국 주요 지역,기타/미분류,212,77583338631.0,365959144.4858491,2026-05-15 14:34:11,0.3112094395280236,0.006411186952653563,1.0,1.0,47.61,제외,14.0
전라남도,해남군,전국 주요 지역,보험/금융,7,12101244154000.0,1728749164857.1428,2025-09-26 09:39:01,0.008849557522123894,1.0,0.1149425287356322,1.0,47.08,데이터부족,0.0
전라북도,전라북도,전국 주요 지역,폐기물/환경,203,29183445840.0,143760816.94581282,2026-05-15 10:25:45,0.29793510324483774,0.0024116070602834315,1.0,0.995,46.88,제외,6.1
전라북도,전주시,전국 주요 지역,행사/운영용역,200,71811056119.0,359055280.595,2026-05-15 17:34:58,0.2935103244837758,0.0059341878574744105,1.0,0.995,46.79,추천,13.9
전라북도,익산시,전국 주요 지역,폐기물/환경,199,181941987970.0,914281346.5829146,2026-05-14 11:25:01,0.2920353982300885,0.015034981994794317,0.9677419354838709,1.0,46.57,제외,6.8
전라북도,전라북도,전국 주요 지역,차량/운송,183,15012498219.0,82035509.39344262,2026-05-15 10:05:02,0.26843657817109146,0.0012405747729697448,1.0,1.0,45.77,추천,6.9
경상남도,경상남도,전국 주요 지역,행사/운영용역,201,34439020231.0,171338409.10945272,2026-05-12 10:48:52,0.2949852507374631,0.002845907395366151,0.9090909090909091,1.0,45.51,추천,15.3
경상북도,경상북도,전국 주요 지역,기타/미분류,168,38171539696.0,227211545.80952382,2026-05-15 14:37:27,0.24631268436578171,0.0031543483637079257,1.0,1.0,44.93,제외,8.2
전라북도,전주시,전국 주요 지역,시설유지보수,177,49244969229.0,278220165.13559324,2026-05-15 15:57:52,0.25958702064896755,0.004069413739803138,1.0,0.96,44.69,추천,6.1
전라북도,전주시,전국 주요 지역,교육물품/교구,159,13097860490.0,82376481.0691824,2026-05-15 11:41:27,0.23303834808259588,0.0010823565183312638,1.0,1.0,44.35,추천,12.0
제주특별자치도,서귀포시,전국 주요 지역,폐기물/환경,161,17995033380.0,111770393.66459627,2026-05-14 14:01:22,0.2359882005899705,0.0014870399399430215,0.9677419354838709,1.0,43.99,제외,5.2
전라북도,전라북도,전국 주요 지역,시설유지보수,174,54316835746.0,312165722.6781609,2026-05-13 11:19:36,0.2551622418879056,0.004488533166901345,0.9375,0.971,43.8,추천,7.1
전라북도,남원시,전국 주요 지역,폐기물/환경,169,62480955950.0,369709798.52071005,2026-05-15 13:08:07,0.24778761061946902,0.005163184475486123,1.0,0.923,43.5,제외,6.8
전라남도,전라남도,전국 주요 지역,기타/미분류,197,18822599708.0,95546191.41116752,2026-05-07 09:44:31,0.2890855457227139,0.001555426819628153,0.7894736842105263,1.0,43.44,제외,6.2
전라북도,부안군,전국 주요 지역,폐기물/환경,152,47097954800.0,309854965.7894737,2026-05-15 17:16:47,0.22271386430678466,0.003891992773687822,1.0,0.961,43.23,제외,5.7
제주특별자치도,제주시,전국 주요 지역,조경/녹지관리,146,24950109656.0,170891162.02739727,2026-05-14 13:28:17,0.21386430678466076,0.0020617805358263824,0.9677419354838709,1.0,43.12,추천,8.9
전라북도,김제시,전국 주요 지역,폐기물/환경,159,15695162831.0,98711715.918239,2026-05-12 13:57:09,0.23303834808259588,0.0012969875354355237,0.9090909090909091,1.0,42.99,제외,6.1
전라남도,전라남도,전국 주요 지역,폐기물/환경,163,15428927449.0,94655996.6196319,2026-05-11 15:13:53,0.23893805309734514,0.0012749868734695392,0.8823529411764706,1.0,42.82,제외,4.9
전라북도,전라북도,전국 주요 지역,교육물품/교구,132,23395062901.0,177235325.00757575,2026-05-15 15:38:50,0.19321533923303835,0.0019332774881057903,1.0,1.0,42.78,추천,13.3
전라남도,전라남도,전국 주요 지역,시설유지보수,189,15216111914.0,80508528.64550264,2026-05-06 16:31:06,0.27728613569321536,0.0012574006209907266,0.7692307692307692,1.0,42.66,추천,3.9
경상남도,경상남도,전국 주요 지역,IT장비/전산,149,37576492000.0,252191221.47651008,2026-05-12 15:40:10,0.2182890855457227,0.0031051759242110076,0.9090909090909091,1.0,42.45,추천,13.1
전라북도,완주군,전국 주요 지역,폐기물/환경,166,29429940002.0,177288795.19277108,2026-05-08 09:55:43,0.24336283185840707,0.0024319763842027844,0.8108108108108107,1.0,41.96,제외,5.8
전라북도,전라북도,전국 주요 지역,전문용역/컨설팅,121,14223996330.0,117553688.67768595,2026-05-14 11:29:31,0.17699115044247787,0.0011754160273923847,0.9677419354838709,0.992,41.47,추천,10.4
전라북도,전라북도,전국 주요 지역,건설/공사,138,62039835899.0,449564028.2536232,2026-05-12 09:20:15,0.20206489675516223,0.005126732021061907,0.9090909090909091,0.978,41.41,제외,10.1
전라북도,군산시,전국 주요 지역,행사/운영용역,116,24650442984.0,212503818.8275862,2026-05-14 11:37:53,0.1696165191740413,0.002037017241392649,0.9677419354838709,1.0,41.35,추천,12.3
경상남도,경상남도,전국 주요 지역,기타/미분류,114,29931294144.0,262555211.78947368,2026-05-14 15:15:19,0.16666666666666666,0.002473406350875614,0.9677419354838709,1.0,41.24,제외,10.2
전라북도,정읍시,전국 주요 지역,폐기물/환경,155,57330903270.0,369876795.2903226,2026-05-07 19:08:09,0.22713864306784662,0.004737604046361595,0.7894736842105263,1.0,41.05,제외,5.9
전라북도,완주군,전국 주요 지역,건설/공사,101,43383348611.0,429538105.0594059,2026-05-15 13:45:20,0.14749262536873156,0.0035850320891724075,1.0,0.99,40.79,제외,8.8
제주특별자치도,제주시,전국 주요 지역,인쇄/홍보물,100,13280142087.0,132801420.87,2026-05-14 18:04:24,0.14601769911504425,0.0010974195643024293,0.9677419354838709,1.0,40.38,추천,10.4
경상북도,경상북도,전국 주요 지역,인쇄/홍보물,96,38955692564.0,405788464.2083333,2026-05-14 09:58:36,0.140117994100295,0.003219147723015192,0.9677419354838709,1.0,40.2,추천,10.0
전라남도,전라남도,전국 주요 지역,IT장비/전산,86,52833798480.0,614346493.9534883,2026-05-15 11:51:45,0.12536873156342182,0.004365980704763822,1.0,1.0,40.12,추천,12.4
전라북도,익산시,전국 주요 지역,행사/운영용역,95,23453962152.0,246883812.1263158,2026-05-14 10:53:01,0.13864306784660768,0.001938144694340988,0.9677419354838709,1.0,40.11,추천,15.7
경상북도,경상북도,전국 주요 지역,시설유지보수,140,7190292287.0,51359230.62142857,2026-05-08 14:58:34,0.20501474926253688,0.0005941779370366053,0.8108108108108107,0.979,39.96,추천,4.9
경상남도,경상남도,전국 주요 지역,시설유지보수,104,8416011270.0,80923185.28846154,2026-05-12 15:03:52,0.15191740412979352,0.0006954666117713305,0.9090909090909091,1.0,39.73,추천,4.0
경상남도,경상남도,전국 주요 지역,건설/공사,144,60537578398.0,420399849.9861111,2026-05-06 17:22:19,0.21091445427728614,0.005002591273062583,0.7692307692307692,0.979,39.68,제외,5.3
경상남도,경상남도,전국 주요 지역,폐기물/환경,102,6804603112.0,66711795.21568628,2026-05-12 14:15:09,0.14896755162241887,0.0005623060757559194,0.9090909090909091,1.0,39.61,제외,3.8
전라남도,전라남도,전국 주요 지역,건설/공사,88,76800683819.0,872735043.3977273,2026-05-14 14:22:40,0.12831858407079647,0.006346511386898508,0.9677419354838709,0.989,39.59,제외,8.5
