city,item_category,plan_count,plan_amount_sum
강원도,IT/소프트웨어,1,195000000.0
강원도,시설유지보수,1,199000000.0
강원도,식품/급식,2,210000550.0
강원도,전기/전자,3,2874967580.0
강원도,청소/환경,1,3410000000.0
강원도,컨설팅/연구,2,1662110000.0
경기도,교육/훈련,1,199779100.0
경기도,기타,3,177094500.0
경기도,농산물/원자재,3,424015900.0
경기도,시설위탁/운영,1,140800000.0
경기도,시설유지보수,1,58861000.0
경기도,식품/급식,2,82166000.0
경기도,의료/복지용품,1,35706000.0
경기도,전기/전자,3,3093252000.0
경기도,컨설팅/연구,5,1012401000.0
경기도,행사/홍보,1,270000000.0
경상남도,기타,1,160000000.0
경상남도,컨설팅/연구,1,101990000.0
경상북도,IT/소프트웨어,3,448669500.0
경상북도,건설/감리,1,699530000.0
경상북도,기타,5,221284991.0
경상북도,농산물/원자재,9,2127271060.0
경상북도,시설유지보수,7,3294474000.0
경상북도,의료/복지용품,1,46544180.0
경상북도,전기/전자,2,1897041000.0
경상북도,청소/환경,1,27873170.0
경상북도,컨설팅/연구,6,297440000.0
광주광역시,기타,3,320682000.0
광주광역시,시설유지보수,3,933578000.0
광주광역시,식품/급식,2,13217140.0
광주광역시,운송/물류,1,13470000.0
광주광역시,의료/복지용품,1,60000000.0
광주광역시,전기/전자,1,3410000.0
광주광역시,청소/환경,1,123980000.0
광주광역시,컨설팅/연구,1,11785890.0
광주광역시,행사/홍보,2,1039171000.0
기타,IT/소프트웨어,25,15602669694.0
기타,건설/감리,3,530978900.0
기타,교육/훈련,13,1766223000.0
기타,기타,36,13148577674.0
기타,농산물/원자재,8,1156330710.0
기타,시설위탁/운영,1,252450000.0
기타,시설유지보수,19,6353238450.0
기타,식품/급식,7,2064791977.0
기타,운송/물류,3,228500000.0
기타,의료/복지용품,6,578648001.0
기타,전기/전자,10,840653830.0
기타,청소/환경,4,109038000.0
기타,출판/인쇄,4,252962000.0
기타,컨설팅/연구,33,6274079088.0
기타,행사/홍보,8,1326500000.0
대구광역시,교육/훈련,1,144874400.0
대구광역시,기타,1,13122000.0
대구광역시,시설유지보수,1,400000000.0
대구광역시,식품/급식,2,44636380.0
대구광역시,전기/전자,2,75654200.0
대구광역시,청소/환경,1,49500000.0
대구광역시,출판/인쇄,1,46036000.0
대구광역시,컨설팅/연구,2,28208000.0
대전광역시,기타,2,75925000.0
대전광역시,농산물/원자재,1,27610000.0
대전광역시,식품/급식,1,34901590.0
대전광역시,전기/전자,1,19462000.0
대전광역시,청소/환경,1,27720000.0
대전광역시,컨설팅/연구,1,142000000.0
부산광역시,IT/소프트웨어,1,55636255.0
부산광역시,교육/훈련,1,30000000.0
부산광역시,기타,1,121688000.0
부산광역시,농산물/원자재,1,290680000.0
부산광역시,식품/급식,1,6000.0
부산광역시,전기/전자,2,212094000.0
부산광역시,컨설팅/연구,4,872070150.0
서울특별시,IT/소프트웨어,3,579138000.0
서울특별시,건설/감리,1,308275000.0
서울특별시,교육/훈련,2,231437670.0
서울특별시,기타,12,1596078600.0
서울특별시,농산물/원자재,1,21989000.0
서울특별시,사무용품/문구,1,0.0
서울특별시,시설유지보수,4,212003300.0
서울특별시,식품/급식,2,32030200.0
서울특별시,운송/물류,1,6252400.0
서울특별시,의료/복지용품,7,6.0
서울특별시,전기/전자,4,1490489841.0
서울특별시,컨설팅/연구,12,1350758000.0
서울특별시,행사/홍보,1,274500000.0
세종특별자치시,교육/훈련,2,99400000.0
세종특별자치시,기타,1,99000000.0
울산광역시,시설유지보수,2,23401054000.0
울산광역시,식품/급식,1,29270220.0
울산광역시,전기/전자,1,95403000.0
울산광역시,컨설팅/연구,2,148389000.0
인천광역시,IT/소프트웨어,1,108273000.0
인천광역시,교육/훈련,1,211000000.0
인천광역시,기타,2,131800000.0
인천광역시,시설유지보수,3,118128850.0
인천광역시,청소/환경,1,29700000.0
인천광역시,컨설팅/연구,4,804230000.0
전라남도,IT/소프트웨어,1,183000000.0
전라남도,기타,1,19786800.0
전라남도,시설유지보수,1,6626000.0
전라남도,의료/복지용품,1,1.0
전라남도,컨설팅/연구,1,66027000.0
전라북도,IT/소프트웨어,1,500000000.0
전라북도,교육/훈련,2,513523920.0
전라북도,기타,6,470585540.0
전라북도,농산물/원자재,5,630091900.0
전라북도,시설유지보수,2,278344000.0
전라북도,식품/급식,10,377562500.0
전라북도,의료/복지용품,1,543040000.0
전라북도,전기/전자,1,172700000.0
전라북도,청소/환경,5,478400000.0
전라북도,컨설팅/연구,10,1948560000.0
제주특별자치도,시설유지보수,1,4320000.0
제주특별자치도,식품/급식,1,33000000.0
제주특별자치도,전기/전자,1,21017200.0
제주특별자치도,컨설팅/연구,1,22562400.0
제주특별자치도,행사/홍보,1,343800000.0
충청남도,건설/감리,1,10043000.0
충청남도,컨설팅/연구,1,1518000.0
충청북도,교육/훈련,1,259042400.0
충청북도,기타,5,446142340.0
충청북도,농산물/원자재,1,233550900.0
충청북도,시설유지보수,5,4453558000.0
충청북도,식품/급식,1,46784000.0
충청북도,의료/복지용품,2,255000000.0
충청북도,전기/전자,2,892455000.0
충청북도,청소/환경,2,651851000.0
충청북도,출판/인쇄,1,10240000.0
충청북도,컨설팅/연구,5,612335000.0
충청북도,행사/홍보,1,34000000.0
