city,bid_count,school_bid_count,award_count,school_award_count,award_conversion_rate
강원특별자치도,113,9,147,8,1.301
경기도,238,20,441,21,1.853
경상남도,196,17,373,17,1.903
경상북도,109,17,214,17,1.963
광주광역시,1201,94,2219,96,1.848
기타,64743,5572,128181,5833,1.98
대구광역시,3243,267,6557,271,2.022
대전광역시,4321,233,8162,239,1.889
부산광역시,1233,95,2354,115,1.909
서울특별시,3992,599,8415,616,2.108
세종특별자치시,51,5,39,5,0.765
울산광역시,183,29,353,30,1.929
인천광역시,3008,309,5720,316,1.902
전라남도,310,19,568,19,1.832
전라북도,466,14,634,13,1.361
제주특별자치도,413,25,817,25,1.978
충청남도,136,5,258,5,1.897
충청북도,7,1,9,1,1.286
