   city  bid_count  school_bid_count  award_count  school_award_count  award_conversion_rate
강원특별자치도       5289               169         5748                 173                  1.087
    경기도      31617              1208        59039                1213                  1.867
   경상남도      14612               471        20060                 472                  1.373
   경상북도       6763               403         7780                 394                  1.150
  광주광역시       9865               245        15087                 244                  1.529
     기타      59413              1884       117584                3139                  1.979
  대구광역시      12907               363        14489                 360                  1.123
  대전광역시      19011               274        25648                 277                  1.349
  부산광역시      19895               420        26968                 420                  1.356
  서울특별시      29522              1057        56147                1110                  1.902
세종특별자치시        115                 8          371                  15                  3.226
  울산광역시       2780               140         3641                 143                  1.310
  인천광역시      15410               480        18470                 501                  1.199
   전라남도      20996               405        25929                 401                  1.235
   전라북도      31925               386        44202                 382                  1.385
제주특별자치도       4143               129         6150                 130                  1.484
   충청남도        841                27          964                  29                  1.146
   충청북도        448                28          413                  27                  0.922
