district,inds_group,store_count,population,stores_per_10k
강남구,교육,3932,524942,74.9
강남구,기타,24454,524942,465.84
강남구,부동산,3260,524942,62.1
강남구,생활서비스,7306,524942,139.18
강남구,수리/개인서비스,1858,524942,35.39
강남구,숙박,9190,524942,175.07
강동구,교육,2046,461012,44.38
강동구,기타,5605,461012,121.58
강동구,부동산,1082,461012,23.47
강동구,생활서비스,4239,461012,91.95
강동구,수리/개인서비스,896,461012,19.44
강동구,숙박,5307,461012,115.12
강북구,교육,762,297441,25.62
강북구,기타,3740,297441,125.74
강북구,부동산,520,297441,17.48
강북구,생활서비스,2870,297441,96.49
강북구,수리/개인서비스,479,297441,16.1
강북구,숙박,3875,297441,130.28
관악구,교육,1554,487305,31.89
관악구,기타,6151,487305,126.22
관악구,부동산,882,487305,18.1
관악구,생활서비스,3869,487305,79.4
관악구,수리/개인서비스,682,487305,14.0
관악구,숙박,6191,487305,127.05
광진구,교육,1387,342481,40.5
광진구,기타,5848,342481,170.75
광진구,부동산,851,342481,24.85
광진구,생활서비스,4074,342481,118.96
광진구,수리/개인서비스,591,342481,17.26
광진구,숙박,5322,342481,155.4
구로구,교육,871,401907,21.67
구로구,기타,4223,401907,105.07
구로구,부동산,795,401907,19.78
구로구,생활서비스,3963,401907,98.6
구로구,수리/개인서비스,300,401907,7.46
구로구,숙박,5574,401907,138.69
금천구,교육,828,229348,36.1
금천구,기타,8704,229348,379.51
금천구,부동산,724,229348,31.57
금천구,생활서비스,3294,229348,143.62
금천구,수리/개인서비스,369,229348,16.09
금천구,숙박,3772,229348,164.47
노원구,교육,2016,505069,39.92
노원구,기타,4136,505069,81.89
노원구,부동산,573,505069,11.34
노원구,생활서비스,3523,505069,69.75
노원구,수리/개인서비스,724,505069,14.33
노원구,숙박,4485,505069,88.8
도봉구,교육,899,313149,28.71
도봉구,기타,3143,313149,100.37
도봉구,부동산,435,313149,13.89
도봉구,생활서비스,2664,313149,85.07
도봉구,수리/개인서비스,368,313149,11.75
도봉구,숙박,2868,313149,91.59
동대문구,교육,1272,342289,37.16
동대문구,기타,4679,342289,136.7
동대문구,부동산,807,342289,23.58
동대문구,생활서비스,4999,342289,146.05
동대문구,수리/개인서비스,620,342289,18.11
동대문구,숙박,5474,342289,159.92
동작구,교육,1183,380584,31.08
동작구,기타,6772,380584,177.94
동작구,부동산,764,380584,20.07
동작구,생활서비스,3437,380584,90.31
동작구,수리/개인서비스,444,380584,11.67
동작구,숙박,4754,380584,124.91
마포구,교육,576,369048,15.61
마포구,기타,7924,369048,214.71
마포구,부동산,624,369048,16.91
마포구,생활서비스,7694,369048,208.48
마포구,수리/개인서비스,575,369048,15.58
마포구,숙박,6869,369048,186.13
서대문구,교육,1338,301916,44.32
서대문구,기타,3912,301916,129.57
서대문구,부동산,609,301916,20.17
서대문구,생활서비스,2818,301916,93.34
서대문구,수리/개인서비스,435,301916,14.41
서대문구,숙박,4519,301916,149.68
서초구,교육,3816,446718,85.42
서초구,기타,17908,446718,400.88
서초구,부동산,2052,446718,45.94
서초구,생활서비스,6533,446718,146.24
서초구,수리/개인서비스,1561,446718,34.94
서초구,숙박,7076,446718,158.4
성동구,교육,2619,281402,93.07
성동구,기타,10912,281402,387.77
성동구,부동산,1134,281402,40.3
성동구,생활서비스,4960,281402,176.26
성동구,수리/개인서비스,757,281402,26.9
성동구,숙박,10261,281402,364.64
성북구,교육,1667,432127,38.58
성북구,기타,4321,432127,99.99
성북구,부동산,740,432127,17.12
성북구,생활서비스,3493,432127,80.83
성북구,수리/개인서비스,543,432127,12.57
성북구,숙박,4800,432127,111.08
송파구,교육,3137,663823,47.26
송파구,기타,12326,663823,185.68
송파구,부동산,1657,663823,24.96
송파구,생활서비스,6762,663823,101.86
송파구,수리/개인서비스,1218,663823,18.35
