district,item_category,target_age_ratio,consumer_fit_score
강남구,교육물품/교구,0.3037,1.0
강남구,시설유지보수,0.4845,0.9855
강남구,차량/운송,0.4845,0.9855
강남구,전문용역/컨설팅,0.4845,0.9855
강남구,경비/보안,0.4845,0.9855
강남구,건설/공사,0.4845,0.9855
강남구,급수/전기/설비,0.4845,0.9855
강남구,보험/금융,0.4845,0.9855
강남구,청소/환경미화,0.4845,0.9855
강남구,폐기물/환경,0.4557,0.6682
강남구,조경/녹지관리,0.4557,0.6682
강남구,급식/식자재,0.4463,0.6522
강남구,IT장비/전산,0.4489,0.4602
강남구,인쇄/홍보물,0.4489,0.4602
강남구,행사/운영용역,0.4489,0.4602
강남구,사무용품/소모품,0.4489,0.4602
강남구,기타/미분류,0.4489,0.4602
강남구,방역/소독,0.5983,0.3756
강남구,의료/복지용품,0.2118,0.0
강동구,방역/소독,0.6184,0.8756
강동구,폐기물/환경,0.4658,0.7618
강동구,조경/녹지관리,0.4658,0.7618
강동구,시설유지보수,0.4679,0.7173
강동구,차량/운송,0.4679,0.7173
강동구,전문용역/컨설팅,0.4679,0.7173
강동구,경비/보안,0.4679,0.7173
강동구,건설/공사,0.4679,0.7173
강동구,급수/전기/설비,0.4679,0.7173
강동구,보험/금융,0.4679,0.7173
강동구,청소/환경미화,0.4679,0.7173
강동구,교육물품/교구,0.2677,0.546
강동구,급식/식자재,0.4203,0.4883
강동구,IT장비/전산,0.4382,0.3975
강동구,인쇄/홍보물,0.4382,0.3975
강동구,행사/운영용역,0.4382,0.3975
강동구,사무용품/소모품,0.4382,0.3975
강동구,기타/미분류,0.4382,0.3975
강동구,의료/복지용품,0.2644,0.3749
강북구,의료/복지용품,0.3521,1.0
강북구,폐기물/환경,0.4849,0.9388
강북구,조경/녹지관리,0.4849,0.9388
강북구,방역/소독,0.6032,0.4975
강북구,교육물품/교구,0.2244,0.0
강북구,급식/식자재,0.3428,0.0
강북구,IT장비/전산,0.3703,0.0
강북구,시설유지보수,0.4235,0.0
강북구,인쇄/홍보물,0.3703,0.0
강북구,행사/운영용역,0.3703,0.0
강북구,사무용품/소모품,0.3703,0.0
강북구,차량/운송,0.4235,0.0
강북구,전문용역/컨설팅,0.4235,0.0
강북구,경비/보안,0.4235,0.0
강북구,건설/공사,0.4235,0.0
강북구,급수/전기/설비,0.4235,0.0
강북구,보험/금융,0.4235,0.0
강북구,청소/환경미화,0.4235,0.0
강북구,기타/미분류,0.3703,0.0
강서구,시설유지보수,0.4802,0.916
강서구,차량/운송,0.4802,0.916
강서구,전문용역/컨설팅,0.4802,0.916
강서구,경비/보안,0.4802,0.916
강서구,건설/공사,0.4802,0.916
강서구,급수/전기/설비,0.4802,0.916
강서구,보험/금융,0.4802,0.916
강서구,청소/환경미화,0.4802,0.916
강서구,방역/소독,0.6187,0.8831
강서구,급식/식자재,0.449,0.6692
강서구,IT장비/전산,0.4759,0.6183
강서구,인쇄/홍보물,0.4759,0.6183
강서구,행사/운영용역,0.4759,0.6183
강서구,사무용품/소모품,0.4759,0.6183
강서구,기타/미분류,0.4759,0.6183
강서구,교육물품/교구,0.2727,0.6091
강서구,폐기물/환경,0.4424,0.5449
강서구,조경/녹지관리,0.4424,0.5449
강서구,의료/복지용품,0.247,0.2509
관악구,급식/식자재,0.5015,1.0
관악구,IT장비/전산,0.5411,1.0
관악구,인쇄/홍보물,0.5411,1.0
관악구,행사/운영용역,0.5411,1.0
관악구,사무용품/소모품,0.5411,1.0
관악구,기타/미분류,0.5411,1.0
관악구,교육물품/교구,0.2936,0.8726
관악구,시설유지보수,0.4634,0.6446
관악구,차량/운송,0.4634,0.6446
관악구,전문용역/컨설팅,0.4634,0.6446
관악구,경비/보안,0.4634,0.6446
관악구,건설/공사,0.4634,0.6446
관악구,급수/전기/설비,0.4634,0.6446
관악구,보험/금융,0.4634,0.6446
관악구,청소/환경미화,0.4634,0.6446
관악구,의료/복지용품,0.243,0.2224
관악구,방역/소독,0.5914,0.204
관악구,폐기물/환경,0.3836,0.0
관악구,조경/녹지관리,0.3836,0.0
광진구,교육물품/교구,0.2937,0.8739
광진구,급식/식자재,0.4568,0.7183
광진구,시설유지보수,0.4659,0.685
광진구,차량/운송,0.4659,0.685
광진구,전문용역/컨설팅,0.4659,0.685
광진구,경비/보안,0.4659,0.685
광진구,건설/공사,0.4659,0.685
광진구,급수/전기/설비,0.4659,0.685
광진구,보험/금융,0.4659,0.685
광진구,청소/환경미화,0.4659,0.685
광진구,IT장비/전산,0.483,0.6598
광진구,인쇄/홍보물,0.483,0.6598
광진구,행사/운영용역,0.483,0.6598
광진구,사무용품/소모품,0.483,0.6598
광진구,기타/미분류,0.483,0.6598
광진구,폐기물/환경,0.4373,0.4977
광진구,조경/녹지관리,0.4373,0.4977
광진구,방역/소독,0.6004,0.4279
광진구,의료/복지용품,0.2403,0.2031
구로구,방역/소독,0.6119,0.7139
구로구,폐기물/환경,0.4562,0.6728
구로구,조경/녹지관리,0.4562,0.6728
구로구,시설유지보수,0.4628,0.6349
구로구,차량/운송,0.4628,0.6349
구로구,전문용역/컨설팅,0.4628,0.6349
구로구,경비/보안,0.4628,0.6349
구로구,건설/공사,0.4628,0.6349
구로구,급수/전기/설비,0.4628,0.6349
구로구,보험/금융,0.4628,0.6349
구로구,청소/환경미화,0.4628,0.6349
구로구,의료/복지용품,0.2787,0.4768
구로구,급식/식자재,0.4141,0.4493
구로구,교육물품/교구,0.2585,0.43
구로구,IT장비/전산,0.4332,0.3683
구로구,인쇄/홍보물,0.4332,0.3683
구로구,행사/운영용역,0.4332,0.3683
구로구,사무용품/소모품,0.4332,0.3683
구로구,기타/미분류,0.4332,0.3683
금천구,방역/소독,0.6212,0.9453
