district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days,population,households,bids_per_10k_population,bids_per_10k_households,amount_per_10k_population,amount_per_10k_households
강서구,공항/산업단지/주거,폐기물/환경,95,292597122340.0,3079969708.8421054,2026-04-20 17:27:13,0.8623853211009175,0.8277188884260196,0.9375,86.7,제외,9.0,571154,259024,1.6633,3.6676,5122911199.7815,11296139444.2214
중구,도심/관광/명동,폐기물/환경,110,93770861544.0,852462377.6727272,2026-04-15 18:09:02,1.0,0.2652336029306289,0.8108108108108107,74.17,제외,5.1,120892,61208,9.099,17.9715,7756581208.3513,15320033581.2312
강남구,업무지구/고소득/IT,폐기물/환경,68,353494731759.0,5198451937.632353,2026-03-19 13:51:52,0.6146788990825688,1.0,0.46875,70.11,제외,7.1,524942,236215,1.2954,2.8787,6733976930.0037,14964956999.3015
중구,도심/관광/명동,시설유지보수,96,33075236260.0,344533711.0416667,2026-04-22 14:16:26,0.8715596330275229,0.09352391036028594,1.0,66.38,추천,6.7,120892,61208,7.941,15.6842,2735932589.4187,5403743997.5167
강남구,업무지구/고소득/IT,시설유지보수,86,25275197700.0,293897647.6744186,2026-04-20 16:09:37,0.7798165137614679,0.07145737398459949,0.9375,59.88,추천,6.8,524942,236215,1.6383,3.6408,481485529.83,1070008157.8223
강남구,업무지구/고소득/IT,행사/운영용역,66,35862815220.0,543375988.1818181,2026-04-10 15:20:08,0.5963302752293578,0.10141005246686269,0.7142857142857143,47.14,추천,10.5,524942,236215,1.2573,2.7941,683176717.0468,1518227683.2547
중구,도심/관광/명동,기타/미분류,53,9381931540.0,177017576.2264151,2026-04-22 22:01:36,0.47706422018348627,0.026494860895676174,1.0,44.65,제외,7.2,120892,61208,4.3841,8.659,776058923.6674,1532794984.3158
강서구,공항/산업단지/주거,시설유지보수,44,4979664888.0,113174202.0,2026-04-20 17:00:47,0.3944954128440367,0.014040720257193301,0.9375,38.9,추천,6.3,571154,259024,0.7704,1.6987,87186028.4267,192247239.1747
중구,도심/관광/명동,건설/공사,49,28838030556.0,588531235.8367347,2026-04-10 16:49:11,0.44036697247706424,0.08153673195349329,0.7142857142857143,38.75,제외,23.6,120892,61208,4.0532,8.0055,2385437461.205,4711480616.2593
은평구,주거/문화/뉴타운,폐기물/환경,29,54224116800.0,1869797131.0344827,2026-04-21 15:08:24,0.25688073394495414,0.15335470967635464,0.9677419354838709,36.8,제외,6.2,469094,210543,0.6182,1.3774,1155932857.8068,2575441444.2655
중구,도심/관광/명동,행사/운영용역,38,9106969122.0,239657082.15789473,2026-04-21 09:00:52,0.3394495412844037,0.02571698420287894,0.9375,36.49,추천,14.3,120892,61208,3.1433,6.2083,753314456.0434,1487872356.8815
송파구,가족주거/대형상권/복합문화,시설유지보수,35,14079656000.0,402275885.71428573,2026-04-20 16:30:10,0.3119266055045872,0.039784860282492285,0.9375,35.54,추천,83236.7,663823,287415,0.5272,1.2178,212099550.6332,489871996.9382
강남구,업무지구/고소득/IT,건설/공사,35,16434140000.0,469546857.14285713,2026-04-17 09:52:20,0.3119266055045872,0.04644576412704607,0.8333333333333334,33.66,제외,6.5,524942,236215,0.6667,1.4817,313065824.4149,695728044.3664
중구,도심/관광/명동,청소/환경미화,36,12325900490.0,342386124.7222222,2026-04-15 18:01:55,0.3211009174311927,0.0348234348410935,0.8108108108108107,33.32,추천,8.8,120892,61208,2.9779,5.8816,1019579499.8842,2013772789.5046
양천구,교육/주거/신도시,폐기물/환경,33,119639249040.0,3625431789.090909,2026-03-06 11:05:38,0.29357798165137616,0.33841602494942935,0.38961038961038963,32.62,제외,18.1,455390,201874,0.7247,1.6347,2627182174.4,5926431786.1636
관악구,청년/자취생/대학가,시설유지보수,26,6848272720.0,263395104.6153846,2026-04-22 11:12:54,0.22935779816513763,0.019327066264272604,1.0,32.05,추천,11.1,487305,243890,0.5335,1.0661,140533602.5692,280793501.9886
성동구,성수/브랜드/라이프스타일,폐기물/환경,17,77133369940.0,4537257055.294118,2026-04-17 08:52:03,0.14678899082568808,0.218165654374251,0.8333333333333334,30.55,제외,5.4,281402,128887,0.6041,1.319,2741038441.0914,5984573303.7467
강동구,주거/강변/문화,행사/운영용역,24,5827523000.0,242813458.33333334,2026-04-21 13:06:54,0.21100917431192662,0.01643933556222698,0.9677419354838709,30.4,추천,40.8,461012,204387,0.5206,1.1742,126407186.7977,285121998.953
동대문구,전통시장/패션/대학,시설유지보수,28,11611571161.0,414698970.03571427,2026-04-16 14:36:20,0.24770642201834864,0.032802576354132605,0.8333333333333334,30.04,추천,9.1,342289,165897,0.818,1.6878,339232962.818,699926530.3773
관악구,청년/자취생/대학가,폐기물/환경,37,142663433680.0,3855768477.8378377,2024-11-25 18:15:48,0.3302752293577982,0.40355211420987547,0.055248618784530384,29.73,제외,9.0,487305,243890,0.7593,1.5171,2927600449.0001,5849499105.3344
양천구,교육/주거/신도시,시설유지보수,26,23243415590.0,893977522.6923077,2026-04-16 10:42:59,0.22935779816513763,0.06570940319023666,0.8108108108108107,29.66,추천,16.5,455390,201874,0.5709,1.2879,510406807.1323,1151382327.0951
