미매핑 학교명 전체 (5572개)
옥과고등학교: 73건
송정초등학교: 69건
교동초등학교: 69건
자유고등학교: 69건
남녕고등학교: 68건
광양고등학교: 63건
동암고등학교: 60건
호남제일고등학교: 60건
북면초등학교: 59건
부안여자고등학교: 59건
신성여자고등학교: 58건
정일초등학교: 58건
오현고등학교: 57건
배영고등학교: 57건
고창중학교: 54건
대신고등학교: 53건
만경여자고등학교: 52건
한솔초등학교: 51건
전주신흥고등학교: 51건
고창북고등학교: 50건
영신여자고등학교: 49건
영흥고등학교: 49건
동산초등학교: 49건
동명초등학교: 49건
강호항공고등학교: 49건
광덕고등학교: 48건
성일고등학교: 48건
순창고등학교: 47건
금구중학교: 47건
인상고등학교: 47건
원평초등학교: 47건
소성초등학교: 47건
고창고등학교: 46건
신명초등학교: 46건
만경고등학교: 46건
부안해오름유치원: 45건
태인고등학교: 45건
종정초등학교: 45건
동신초등학교: 44건
덕암정보고등학교: 44건
목포여자고등학교: 43건
보문고등학교: 43건
대청초등학교: 42건
화천고등학교: 42건
정읍여자고등학교: 42건
신태인초등학교: 42건
전주문정유치원: 42건
목포덕인고등학교: 41건
환일고등학교: 41건
부안중학교: 41건
김제여자고등학교: 41건
낭주중학교: 41건
태인초등학교: 41건
광양제철초등학교: 41건
남원여자고등학교: 40건
목포혜인여자고등학교: 40건
광영고등학교: 40건
성남고등학교: 40건
삼일공업고등학교: 40건
동암차돌학교: 39건
삼성초등학교: 39건
김제고등학교: 39건
김제농생명마이스터고등학교: 39건
신태인고등학교: 39건
남원용성중학교: 39건
이평초등학교: 39건
정읍서초등학교: 39건
해남공업고등학교: 39건
순천금당고등학교: 38건
영암여자고등학교: 38건
동성고등학교: 38건
보성고등학교: 38건
양정고등학교: 38건
중산고등학교: 38건
구암중학교: 38건
지산중학교: 38건
수곡초등학교: 38건
지평선중학교: 38건
광양여자고등학교: 38건
순천여자고등학교: 38건
삼호고등학교: 38건
육군제7789부대: 38건
전주늘품유치원: 38건
용호초등학교: 37건
목포홍일고등학교: 37건
옥천초등학교: 37건
구산중학교: 37건
동명중학교: 37건
전주솔내고등학교: 37건
고창북중학교: 37건
삼남중학교: 37건
순천제일고등학교: 37건
목포청호중학교: 37건
성동초등학교: 36건
송정중학교: 36건
동양중학교: 36건
성산중학교: 36건
성남초등학교: 36건
경안고등학교: 36건
왕신여자고등학교: 36건
전주한일고등학교: 36건
명덕고등학교: 35건
매원초등학교: 35건
호남고등학교: 35건
화정초등학교: 35건
명지중학교: 35건
브니엘고등학교: 35건
운암중학교: 35건
석정여자고등학교: 35건
중앙초등학교: 35건
부안고등학교: 35건
서영여자고등학교: 35건
군산서흥중학교: 35건
남원하늘중학교: 35건
칠보초등학교: 35건
순천강남여자고등학교: 35건
목상고등학교: 35건
구례중앙초등학교: 35건
대동고등학교: 34건
광남고등학교: 34건
영동고등학교: 34건
